ID,w3,w4,w5,w6,w8,swe_w3,swe_w4,swe_w5,swe_w6,swe_w8
SJT06,,EP A,,FP A,VP A,,5.1000004,,3.8,4.6
GKK26,FP B,,VP A,VP B,,4.8,,4.6,5.2,
SHA13,FP B,,VP A,VP B,,4.5,,4.8,4.0,
PML27,EP A,EP A,,FP A,FP B,5.3999996,5.7,,4.8,5.0
ALS30,,EP A,,FP A,VP A,,5.1000004,,5.4,5.8
LSA29,,,EP A,EP B,EP B,,,3.6,4.2,3.2
SFJ26,FP B,VP A,VP B,,VP B,4.8,4.5,5.8,,4.6
CGM10,EP A,EP A,,FP A,FP B,4.5,5.1000004,,4.0,4.2
GFK01,,,EP A,EP B,EP B,,,3.6,4.4,4.0
SAB14,FP B,VP A,VP B,,,4.5,5.1000004,4.4,,
LRE09,,VP A,VP B,,VP B,,5.3999996,4.4,,3.0
KHR15,,EP A,,FP A,FP B,,4.5,,5.2,5.8
CNV24,,EP A,,FP A,VP A,,5.3999996,,4.4,5.2
AWD13,FP B,,,VP B,VP B,5.1000004,,,4.4,5.8
MWT23,,EP A,,FP A,VP A,,5.01,,5.4,5.2
KRE13,EP A,EP A,FP A,FP B,,3.3000002,5.3999996,4.6,5.0,
SSJ20,,EP A,,FP B,VP A,,5.3999996,,5.4,5.2
MJS13,,EP A,,FP A,VP A,,5.1000004,,4.8,5.2
SRJ31,EP A,EP A,,FP A,VP A,5.1000004,5.3999996,,5.0,4.6
DRF12,,EP A,,FP A,FP B,,5.1000004,,5.2,3.4
NHL21,,,EP A,EP B,FP A,,,5.8,3.8,3.4
RHM19,EP A,EP A,,FP A,VP A,5.1000004,5.1000004,,4.6,4.6
EFL19,EP A,EP A,,FP B,,5.3999996,5.3999996,,5.6,
IFV16,EP A,EP A,,,FP A,3.8999999,5.7,,,5.2
IMA14,,VP A,,VP B,VP B,,5.7,,5.8,4.8
IFS27,,,EP A,EP B,VP A,,,4.8,4.8,4.8
SAL14,EP A,,,FP A,VP A,4.8,,,5.2,3.4
AHC29,,EP A,,FP A,FP B,,4.8,,4.2,5.2
BDK16,EP A,EP A,,FP A,,4.2,4.5,,4.0,
SMC17,EP A,,,FP A,FP B,5.3999996,,,4.4,4.2
MFM16,FP B,,,VP B,VP B,3.6000001,,,4.8,3.2
AJC30,,FP A,FP B,,VP B,,4.5,4.4,,4.8
MFV23,,FP A,FP B,VP A,VP B,,5.3999996,5.4,4.8,4.8
MRN21,,EP A,,FP A,FP B,,5.3999996,,5.0,4.6
PKL19,FP B,,VP A,,MP A,5.1000004,,3.8,,3.0
BMH23,,FP A,,FP B,VP A,,4.5,,5.6,5.0
RAS30,EP A,,,FP A,VP A,4.2,,,5.4,5.2
HET27,VP A,VP B,,,VP B,5.3999996,5.1000004,,,4.8
BPM16,,FP A,FP B,VP A,,,4.5,5.0,4.8,
SRK27,VP A,VP B,,,VP B,5.3999996,5.1000004,,,5.4
DML05,,EP A,,FP A,FP B,,6.0,,6.0,6.0
ETB28,VP A,VP B,,,MP A,3.8999999,3.3000002,,,2.4
CME10,,EP A,,FP A,FP B,,5.7,,5.8,5.4
RWS07,,EP A,,FP A,FP A,,3.8999999,,4.8,4.0
MJA19,,EP A,,FP A,VP A,,4.5,,4.0,4.0
JAL27,,,FP A,FP B,VP B,,,4.8,5.2,5.6
MFJ19,,,EP A,EP B,FP A,,,4.6,4.8,4.8
CES16,EP A,EP A,,FP A,FP B,3.6000001,4.5,,4.0,4.8
SRM18,FP B,VP A,,,VP B,5.3999996,5.3999996,,,5.8
ERM05,,EP A,,FP A,FP B,,4.8,,4.0,4.2
MDH14,,EP A,,FP A,VP A,,6.0,,6.0,5.6
AGI19,EP A,EP A,,,VP A,4.5,4.2,,,5.0
GHV14,,EP A,FP A,FP B,,,6.0,5.6,5.8,
BAV11,,EP A,,FP A,FP A,,5.1000004,,4.4,4.2
BHN02,,,FP B,VP A,VP B,,,4.2,5.0,4.6
AKJ25,,EP A,,FP B,VP B,,5.7,,5.4,4.6
ESS19,VP A,VP B,,,VP B,4.8,5.3999996,,,5.6
KFL06,,FP A,FP B,VP A,,,4.8,5.6,4.0,
MAJ29,EP A,EP A,FP A,,FP B,4.8,4.5,5.0,,4.6
BSS27,EP A,EP A,,FP A,,5.7,5.1000004,,5.4,
IJK20,FP A,,FP B,VP A,VP A,5.1000004,,5.4,5.6,4.6
MMH08,,EP A,,FP B,VP B,,4.8,,5.4,5.8
KKC22,,FP A,,VP A,VP B,,4.8,,4.2,4.4
ALJ15,,EP A,,FP A,VP B,,4.5,,4.4,4.8
AJC17,,EP A,,FP A,FP B,,6.0,,6.0,5.6
LFC19,,EP A,,FP A,FP B,,4.5,,5.0,4.0
IPM18,,EP A,,FP A,VP A,,4.8,,5.0,4.4
BKJ12,EP A,EP A,,FP A,FP B,3.3000002,4.5,,4.8,3.2
BRJ16,,,EP A,EP B,FP A,,,5.0,5.0,4.8
