ID,w3,w4,w5,w6,w8,swe_w3,swe_w4,swe_w5,swe_w6,swe_w8
SAB14,FP B,VP A,VP B,,,4.5,5.1,4.4,,
MAJ29,EP A,,FP A,,FP B,4.797,,5.0,,4.6
JAL27,,,FP A,FP B,VP B,,,4.8,5.2,5.6
SHA13,FP B,,VP A,VP B,,4.5,,4.8,4.0,
ESS19,VP A,VP B,,,VP B,4.797,5.4,,,5.6
NHL21,,,EP A,EP B,FP A,,,5.8,3.8,3.4
BSS27,EP A,EP A,,FP A,,5.703,5.1,,5.4,
RAS30,EP A,,,FP A,VP A,4.203,,,5.4,5.2
MFV23,,FP A,FP B,VP A,,,5.4,5.4,4.8,
SSJ20,,EP A,,FP B,VP A,,5.4,,5.4,5.2
CGM10,EP A,EP A,,FP A,FP B,4.5,5.1,,4.0,4.2
AGI19,EP A,EP A,,,VP A,4.5,4.203,,,5.0
SRJ31,EP A,EP A,,FP A,VP A,5.1,5.4,,5.0,4.6
SFJ26,FP B,VP A,VP B,,,4.797,4.5,5.8,,
KRE13,EP A,,FP A,FP B,,3.299,,4.6,5.0,
BAV11,,EP A,,FP A,FP A,,5.1,,4.4,4.2
LFC19,,EP A,,FP A,FP B,,4.5,,5.0,4.0
GFK01,,,EP A,EP B,EP B,,,3.6,4.4,4.0
GHV14,,EP A,FP A,FP B,,,6.0,5.6,5.8,
IJK20,FP A,,FP B,VP A,VP A,5.1,,5.4,5.6,4.6
AJC30,,FP A,FP B,,VP B,,4.5,4.4,,4.8
AJC17,,EP A,,FP A,FP B,,6.0,,6.0,5.6
MJA19,,EP A,,FP A,VP A,,4.5,,4.0,4.0
ALS30,,EP A,,FP A,VP A,,5.1,,5.4,5.8
MFM16,FP B,,,VP B,VP B,3.602,,,4.8,3.2
RWS07,,EP A,,FP A,FP A,,3.898,,4.8,4.0
BRJ16,,,EP A,EP B,FP A,,,5.0,5.0,4.8
BPM16,,FP A,FP B,VP A,,,4.5,5.0,4.8,
MDH14,,EP A,,FP A,VP A,,6.0,,6.0,5.6
LSA29,,,EP A,EP B,EP B,,,3.6,4.2,3.2
BDK16,EP A,EP A,,FP A,,4.203,4.5,,4.0,
BMH23,,FP A,,FP B,VP A,,4.5,,5.6,5.0
