ID_student,Praktikum_w4,KO01_01,KO01_02,KO01_03,KO01_04,KO01_05,FINISHED,TIME_SUM,SWE_Mean,SWE_Mean_norm,Praktikum_w6,KO01_01_B,KO01_02_B,KO01_03_B,KO01_04_B,KO01_05_B,FINISHED_B,TIME_SUM_B,SWE_Mean_B,SWE_Mean_norm_B,Praktikum_w8,SW01_01,SW01_02,SW01_03,SW01_04,SW01_05,FINISHED_C,TIME_SUM_C,SWE_Mean_C,SWE_Mean_norm_C
AJC17,EP A,4.0,4.0,4.0,4.0,4.0,ausgefüllt,675.0,4.0,6.0,FP A,6.0,6.0,6.0,6.0,6.0,ausgefüllt,1685.0,6.0,6.0,FP B,6.0,5.0,5.0,6.0,6.0,ausgefüllt,729.0,5.6,5.6
BAV11,EP A,3.0,4.0,3.0,3.0,4.0,ausgefüllt,913.0,3.4,5.1,FP A,4.0,5.0,3.0,4.0,6.0,ausgefüllt,954.0,4.4,4.4,FP A,4.0,5.0,3.0,4.0,5.0,ausgefüllt,883.0,4.2,4.2
MJA19,EP A,3.0,4.0,2.0,3.0,3.0,ausgefüllt,752.0,3.0,4.5,FP A,5.0,2.0,4.0,5.0,4.0,ausgefüllt,1149.0,4.0,4.0,VP A,5.0,4.0,3.0,4.0,4.0,ausgefüllt,1042.0,4.0,4.0
MDH14,EP A,4.0,4.0,4.0,4.0,4.0,ausgefüllt,860.0,4.0,6.0,FP A,6.0,6.0,6.0,6.0,6.0,ausgefüllt,1617.0,6.0,6.0,VP A,5.0,6.0,5.0,6.0,6.0,ausgefüllt,648.0,5.6,5.6
SSJ20,EP A,3.0,4.0,3.0,4.0,4.0,ausgefüllt,675.0,3.6,5.4,FP B,6.0,5.0,5.0,5.0,6.0,ausgefüllt,811.0,5.4,5.4,VP A,6.0,6.0,4.0,5.0,5.0,ausgefüllt,920.0,5.2,5.2
BMH23,FP A,3.0,3.0,3.0,3.0,3.0,ausgefüllt,1047.0,3.0,4.5,FP B,6.0,6.0,5.0,5.0,6.0,ausgefüllt,1340.0,5.6,5.6,VP A,5.0,5.0,5.0,5.0,5.0,ausgefüllt,899.0,5.0,5.0
CGM10,EP A,3.0,3.0,3.0,4.0,4.0,ausgefüllt,1298.0,3.4,5.1,FP A,3.0,5.0,3.0,4.0,5.0,ausgefüllt,1279.0,4.0,4.0,FP B,6.0,5.0,2.0,5.0,3.0,ausgefüllt,644.0,4.2,4.2
SRJ31,EP A,4.0,4.0,3.0,3.0,4.0,ausgefüllt,643.0,3.6,5.4,FP A,5.0,6.0,4.0,5.0,5.0,ausgefüllt,1468.0,5.0,5.0,VP A,4.0,4.0,4.0,6.0,5.0,ausgefüllt,921.0,4.6,4.6
ALS30,EP A,4.0,3.0,3.0,3.0,4.0,ausgefüllt,804.0,3.4,5.1,FP A,5.0,5.0,5.0,6.0,6.0,ausgefüllt,1025.0,5.4,5.4,VP A,6.0,6.0,5.0,6.0,6.0,ausgefüllt,834.0,5.8,5.8
RWS07,EP A,3.0,2.0,2.0,3.0,3.0,ausgefüllt,715.0,2.6,3.9,FP A,4.0,4.0,5.0,6.0,5.0,ausgefüllt,2134.0,4.8,4.8,FP A,5.0,4.0,3.0,3.0,5.0,ausgefüllt,958.0,4.0,4.0
LFC19,EP A,3.0,3.0,3.0,3.0,3.0,ausgefüllt,964.0,3.0,4.5,FP A,5.0,5.0,5.0,5.0,5.0,ausgefüllt,1600.0,5.0,5.0,FP B,4.0,4.0,4.0,4.0,4.0,ausgefüllt,806.0,4.0,4.0
