CASE,Anteil_fehlender_Antworten,SERIAL,REF,QUESTNNR,MODE,STARTED,ID01_01,ID01_03,ID01_05,ID01_07,CV01,CV02,CV03,CV03_01,CV03_02,CV03_03,CV03_04,CV03_05,CV03_06,CV03_07,CV03_07a,CV04_01,CV05_01,CV06_01,CV06_01_neu,CV07,CV08_01,CV08_02,CV08_03,CV08_04,CV09_01,CV09_02,CV09_03,CV09_04,CV09_05,CV09_06,CV09_07,CV09_08,CV09_09,CV10,CV10_01,CV10_02,CV10_03,CV10_04,CV10_05,CV10_06,CV10_07,CV10_08,CV10_09,CV10_10,CV10_11,CV10_12,CV10_13,CV10_14,CV11,CV12,CV13,CV14,CV20,CV20_02,CV15,CV16,CV17,CV18,CV21_01,CV21_02,CV21_03,CV21_04,CV21_05,CV21_06,CV21_07,CV19_01,CV19_02,CV19_03,CV19_04,CV19_05,CV19_06,CV22_01,CV22_02,CV22_03,CV22_04,CV22_05,CV22_06,CV22_07,CV22_08,CV22_09,CV22_10,CV22_11,CV22_12,CV23_01,CV24_01,SD30,SD30_05,SD30_06,SD30_01,SD30_02,SD30_03,SD30_04,SD01,SD06_01,SD31_01,SD20,SD21_01,SD21_01_Neu,SD17,SD18,SD26,SD26_01,SD26_02,SD26_03,SD26_04,SD26_05,SD26_06,SD26_07,SD26_08,SD26_09,SD26_10,SD26_11,SD26_12,SD26_13,SD26_14,SD26_15,SD26_16,SD26_17,SD26_18,SD26_19,SD26_20,SD26_21,SD26_21a,SD29,CV25_01,SS01_01,SS01_02,SS01_03,SS01_04,SS01_05,SS01_06,SS01_07,SS01_08,SS01_09,SS01_10,SS01_11,SS01_12,SS01_13,SS01_14,SS01_15,SS01_16,SS01_17,SS01_18,SS01_19,SS01_20,SS01_21,SS01_22,SD19,SD19_01,SD19_02,SD19_03,SD19_04,SD19_05,SD19_06,SD19_07,SD19_08,SD19_09,SD19_10,SD19_11,SD19_12,SD19_13,SD19_14,SD19_15,SD19_16,SD19_17,SD19_18,SD19_19,SD19_20,SD19_21,SD19_21a,SD22,SD22_01,SD22_02,SD22_03,SD22_04,SD22_05,SD23,SD23_01,SD23_02,SD23_03,SD23_04,SD24,SD27,SD28,SD25,LK01_01,LK01_02,LK01_03,LK01_04,LK01_05,LK01_06,LK01_07,LK01_08,LK01_09,LK01_10,LK02_01,LK02_02,LK02_03,LK02_04,LK02_05,LK02_06,UF02_01,UF02_02,UF02_03,UF02_04,UF02_05,TS01_01,TS01_02,TS01_03,TS01_04,TS01_05,TS01_06,TS01_07,TS01_08,TS01_09,TS01_10,TS01_11,TS01_12,TS01_13,TS01_14,TS01_15,TS02_01,TS02_02,TS02_03,TS02_04,TS02_05,TS02_06,TS02_07,TS02_08,TS02_09,TS02_10,TS02_11,TS02_12,TS02_13,TS02_14,TS02_15,TS02_16,TS02_17,TS02_18,TS03,TS04,TS04_01,TS04_02,TS04_03,TS04_04,TS04_05,TS04_06,TS04_06a,MO01_01,MO01_02,MO01_03,MO01_04,MO01_05,MO01_06,MO01_07,MO01_08,MO01_09,MO01_10,MO01_11,MO01_12,MO01_13,MO01_14,MO01_15,MO01_16,MO01_17,MO01_18,MO01_19,MO01_20,MO01_21,MO01_22,MO01_23,WU01_05,WU01_18,WU01_14,WU01_07,WU01_13,WU01_10,WU01_16,WU01_08,WU01_01,WU01_15,WU01_04,WU01_06,WU01_09,WU01_12,WU01_02,WU01_11,WU01_03,WU01_17,WU02_01,WU02_02,WU02_03,WU02_04,WU02_05,WU02_06,WU02_07,WU02_08,WU02_09,WU02_10,WU02_11,WU02_12,WU02_13,WU02_14,WU03_01,WU03_02,WU03_03,WU03_04,WU03_05,WU03_06,WU03_07,WU06_01,WU06_02,WU06_03,WU06_04,WU06_05,WU06_06,WU06_07,WU06_08,WU07_01,WU07_02,WU07_03,WU07_04,WU07_05,WU07_06,WU07_07,WU07_08,ZU01_01,ZU01_02,ZU01_03,ZU01_04,ZU02_01,ZU02_02,ZU02_03,ZU02_04,ZU02_05,ZU02_06,ZU02_07,ZU02_08,ZU02_09,ZU02_10,ZU02_11,ZU02_12,ZU03,ZU04_01,CI01_01,CI01_02,CI01_03,CI01_04,CI01_05,CI01_06,CI01_07,CI01_08,CI01_09,CI01_10,CI01_11,CI01_12,CI01_13,CI04_01,CI04_02,CI04_03,CI04_04,CI04_05,CI04_06,CI04_07,CI04_08,CI04_09,CI04_10,CI04_11,CI04_12,CI02,CI02_01,CI02_02,CI02_03,CI02_04,CI02_05,CI03_01,RA01_01,RA01_02,RA01_03,RA01_04,RA01_05,RA01_06,RA01_07,RA02_01,RA02_02,RA02_03,RA02_04,RA02_05,RA02_06,RA02_07,RA02_08,UR01_01,LG01_01,LG01_02,LG01_03,LG01_04,LG01_05,LG01_06,LG01_07,LG01_08,LG01_09,LG01_10,LG01_11,LG01_12,LG01_13,LG02_01,LG02_02,LG02_03,LG02_04,LG02_05,LG02_06,LG02_07,LG02_08,LG02_09,LG02_10,LG02_11,LG02_12,LG02_13,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME021,TIME022,TIME023,TIME024,TIME025,TIME026,TIME027,TIME028,TIME029,TIME030,TIME031,TIME032,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME,Erwerbstätigkeit,filter_$,CV10_neu
1697,1.0,,,FB2020P,interview,2020-07-17 13:13:19,,,,,ja,ja,,,,,,,,,,,,4.0,1-10 EH,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keine Angabe/keine Erwerbstätigkeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,3.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,2020-07-17 13:13:45,abgebrochen,Teilnehmer,5.0,5.0,0.0,0.0,1.2,10.0,,Selected,
1840,1.0,,,FB2020P,interview,2020-07-22 12:00:02,,,,,ja,ja,,,,,,,,,,,,75.0,>40,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keine Angabe/keine Erwerbstätigkeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,3.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,2020-07-22 12:00:25,abgebrochen,Teilnehmer,5.0,5.0,0.0,0.0,1.16,8.0,,Selected,
1568,1.0,,,FB2020P,interview,2020-07-14 08:33:49,,,,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,weiblich,,98,nicht erwerbstätig.,,keine Angabe/keine Erwerbstätigkeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,5.0,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,53.0,,2020-07-14 08:34:42,abgebrochen,Teilnehmer,9.0,9.0,17.0,12.0,0.84,6.0,,Not Selected,
1371,1.0,,,FB2020P,interview,2020-07-13 12:48:43,,,,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,weiblich,,97,gelegentlich während des Semesters erwerbstätig.,5.0,1-10h,PH OÖ,,2.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,48.0,22.0,,,,,,,,,,,,,,,,,,,,,,,76.0,,2020-07-13 12:49:59,ausgefüllt,Teilnehmer,10.0,10.0,10.0,3.0,1.3,15.0,1.0,Not Selected,
1234,1.0,,,FB2020,interview,2020-06-26 12:49:43,L,L,S,27,ja,nein,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,männlich,84,84,gelegentlich während des Semesters erwerbstätig.,12.0,11-20,PH OÖ,,2.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,,gar nicht,,eher geeignet,völlig geeignet,eher geeignet,völlig geeignet,eher geeignet,eher geeignet,eher geeignet,eher nicht geeignet,eher nicht geeignet,eher nicht geeignet,eher nicht geeignet,eher nicht geeignet,eher geeignet,eher nicht geeignet,völlig geeignet,völlig geeignet,überhaupt nicht geeignet,völlig geeignet,eher geeignet,völlig geeignet,völlig geeignet,völlig geeignet,,,,,,,,,,,,,,,,,,,,,,,,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,8 Semester,,nein,Nein,stimme völlig zu,stimme eher nicht zu,stimme völlig zu,stimme gar nicht zu,stimme völlig zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,,,,,,,trifft eher zu,trifft eher zu,trifft völlig zu,trifft eher zu,trifft eher nicht zu,stimmt eher,stimmt eher nicht,stimmt eher,stimmt eher,stimmt eher,stimmt eher nicht,stimmt eher nicht,stimmt eher,stimmt völlig,stimmt eher nicht,stimmt überhaupt nicht,stimmt eher nicht,stimmt eher nicht,stimmt eher,stimmt eher,trifft fast zu,trifft voll zu,trifft eher zu,trifft fast zu,trifft eher zu,trifft fast zu,trifft voll zu,trifft eher zu,trifft eher nicht zu,trifft fast nicht zu,trifft eher zu,trifft eher nicht zu,trifft eher zu,trifft fast zu,trifft fast zu,trifft fast zu,trifft voll zu,trifft fast zu,,,,,,,,,,trifft eher zu,trifft eher zu,trifft eher zu,trifft eher zu,trifft völlig zu,trifft völlig zu,trifft eher zu,trifft völlig zu,trifft eher zu,trifft eher zu,trifft völlig zu,trifft völlig zu,trifft eher zu,trifft eher nicht zu,trifft eher zu,trifft eher zu,trifft eher zu,trifft völlig zu,trifft eher zu,trifft eher nicht zu,trifft eher nicht zu,trifft überhaupt nicht zu,trifft eher nicht zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trifft eher zu,trifft voll zu,trifft eher zu,trifft voll zu,teil/teils,nicht zufrieden,teil/teils,teil/teils,teil/teils,zufrieden,teil/teils,teil/teils,teil/teils,nicht zufrieden,teil/teils,nicht zufrieden,zufrieden,"Das vierte Jahr im Bachelorstudium (Semester 7 und 8) könnte, sollte, ja müsste man sich fast schenken. Ich denke bei besserer Kurskoordination bzw. besserer Kooperation der einzelnen Hochschulen untereinander wäre es bestimmt möglich die 240 ECT in 6 Semestern durchzubringen.",,,,,,,,,,,,,,stimmt teilweise,,,,,,,stimmt völlig,,,,,,,,,,,,,,,,,,,trifft eher nicht zu,trifft eher nicht zu,trifft eher zu,trifft eher nicht zu,trifft eher zu,trifft überhaupt nicht zu,trifft überhaupt nicht zu,trifft eher zu,,5.0,5.0,3.0,4.0,3.0,,,4.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0,,,,,,4.0,4.0,fast immer,4.0,3.0,5.0,6.0,4.0,24.0,82.0,231.0,332.0,257.0,,,,,,3.0,115.0,101.0,104.0,35.0,92.0,99.0,96.0,57.0,8.0,3.0,26.0,,,,,43.0,35.0,,313.0,2040.0,,2020-06-26 13:24:09,ausgefüllt,Teilnehmer,32.0,32.0,6.0,4.0,0.95,6.0,2.0,Selected,
1687,1.0,,,FB2020P,interview,2020-07-17 13:00:42,,,,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,männlich,,90,gelegentlich während des Semesters erwerbstätig.,10.0,1-10h,PH OÖ,,2.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,5.0,,,,,,,57.0,26.0,,,,,,,,,,,,,,,,,,,,,,,97.0,,2020-07-17 13:02:19,ausgefüllt,Teilnehmer,10.0,10.0,10.0,3.0,0.8,0.0,1.0,Not Selected,
1346,1.0,,,FB2020P,interview,2020-07-13 12:33:08,,,,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,weiblich,,98,während des ganzen Semesters erwerbstätig.,9.0,1-10h,PH OÖ,,2.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,,,,44.0,17.0,,,,,,,,,,,,,,,,,,,,,,,68.0,,2020-07-13 12:34:16,ausgefüllt,Teilnehmer,10.0,10.0,10.0,3.0,1.33,17.0,1.0,Not Selected,
1363,1.0,,,FB2020P,interview,2020-07-13 12:42:18,,,,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,weiblich,,98,gelegentlich während des Semesters erwerbstätig.,20.0,11-20,JKU,,2.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,,,,32.0,18.0,,,,,,,,,,,,,,,,,,,,,,,58.0,,2020-07-13 12:43:16,ausgefüllt,Teilnehmer,10.0,10.0,10.0,3.0,1.36,20.0,2.0,Not Selected,
1331,1.0,,,FB2020P,interview,2020-07-13 12:27:51,,,,,ja,nein,4.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,weiblich,,95,nicht erwerbstätig.,,keine Angabe/keine Erwerbstätigkeit,PH OÖ,,2.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,,sehr stark,"Wieso verlangen Sie bei der vorherigen Frage beim Ausmaß der Stunden, die man vor Corona an der Schule absolviert hat, einen Wert einzugeben, der größer als 2 ist, obwohl manche vor Corona noch keine Zeit hatten für ihr Praktikum?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,5.0,40.0,,,,,37.0,86.0,,,,,,,,,,,,,,,,,,,,,,,136.0,,2020-07-13 12:30:47,ausgefüllt,Teilnehmer,10.0,10.0,8.0,6.0,0.89,5.0,,Selected,
1265,1.0,,,FB2020,interview,2020-07-01 09:35:56,E,L,M,23,ja,ja,,,,,,,,,,,,10.0,1-10 EH,nein,,,,,,,,,,,,,,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,,,,weniger gelernt,Ähnliches gelernt,,,gleich,weniger gut,erschwert,,,,,,,,trifft zu,trifft zu,trifft eher zu,trifft zu,trifft zu,trifft eher zu,,,,,,,,,,,,,,,,,,,,,,weiblich,98,98,während des ganzen Semesters erwerbstätig.,2.0,1-10h,JKU,,2.0,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,,gar nicht,,eher geeignet,völlig geeignet,völlig geeignet,eher geeignet,eher geeignet,eher geeignet,eher geeignet,völlig geeignet,eher nicht geeignet,völlig geeignet,völlig geeignet,eher geeignet,völlig geeignet,völlig geeignet,eher geeignet,eher geeignet,eher nicht geeignet,eher geeignet,eher geeignet,völlig geeignet,völlig geeignet,eher geeignet,,,,,,,,,,,,,,,,,,,,,,,,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,4.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,8 Semester,,ja,Nein,stimme eher zu,stimme eher nicht zu,stimme völlig zu,stimme gar nicht zu,stimme völlig zu,stimme gar nicht zu,stimme eher zu,stimme völlig zu,stimme eher zu,stimme völlig zu,,,,,,,trifft eher zu,trifft eher zu,trifft eher nicht zu,trifft eher zu,trifft überhaupt nicht zu,stimmt eher,stimmt eher,stimmt völlig,stimmt eher,stimmt völlig,stimmt eher nicht,stimmt völlig,stimmt eher,stimmt eher,stimmt eher,stimmt überhaupt nicht,stimmt überhaupt nicht,stimmt überhaupt nicht,stimmt völlig,stimmt völlig,trifft eher zu,trifft eher zu,trifft eher nicht zu,trifft eher zu,trifft voll zu,trifft voll zu,trifft fast zu,trifft voll zu,trifft voll zu,trifft eher zu,trifft fast zu,trifft eher nicht zu,trifft fast zu,trifft fast zu,trifft eher zu,trifft eher zu,trifft eher zu,trifft voll zu,,,,,,,,,,trifft völlig zu,trifft völlig zu,trifft völlig zu,trifft völlig zu,trifft völlig zu,trifft eher zu,trifft eher zu,trifft eher zu,trifft völlig zu,trifft völlig zu,trifft völlig zu,trifft eher zu,trifft eher zu,trifft völlig zu,trifft eher zu,trifft völlig zu,trifft völlig zu,trifft völlig zu,trifft völlig zu,trifft eher zu,trifft völlig zu,trifft überhaupt nicht zu,trifft überhaupt nicht zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trifft eher zu,trifft voll zu,trifft eher zu,trifft voll zu,teil/teils,zufrieden,sehr zufrieden,nicht zufrieden,zufrieden,zufrieden,sehr zufrieden,zufrieden,zufrieden,sehr zufrieden,zufrieden,sehr zufrieden,sehr zufrieden,"6 Praktika sind sehr mühsam. Vor Allem weil  man jedes Mal aufs neue das selbe Prozedere durchgeht. Kennenlernen der Schule, Kontaktaufnahme mit Lehrer*in, Hospitationen, usw. ...<br><br>Weniger, aber dafür etwas intensivere Praktika wären wesentlich sinnvoller.<br><br>Vor Allem weil ""Praktikantin"" an einer Schule sein in vielen Punkten auch nur ein künstliches, praxisfremdes Szenario ist.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trifft eher zu,trifft eher zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,8.0,38.0,108.0,115.0,210.0,212.0,136.0,24.0,83.0,15.0,,3.0,91.0,109.0,81.0,26.0,80.0,105.0,13.0,2.0,5.0,7.0,,13.0,4.0,44.0,21.0,36.0,29.0,,190.0,1818.0,,2020-07-01 10:06:19,ausgefüllt,Teilnehmer,32.0,32.0,27.0,26.0,1.24,59.0,1.0,Selected,keine Lerngelegenheit
