CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,D001_01,D002,D015,D014,D016,D017_01,PS17_01,PS17_02,PS17_03,PS16,PS15,PS14,PS13,PS12,PS11,PS11_05,PS11_01,PS11_02,PS11_03,PS11_04,PS10,PS09,PS08_01,PS07,PS06,PS05_01,PS04_01,PS03,PS02_01,PS18,KO01_01,KO01_02,KO01_03,KO01_04,KO01_05,F001_02,F001_04,F001_05,F001_06,F001_07,F001_08,F002,F002_01,F002_02,F002_03,F002_04,F002_05,F002_06,F002_07,F002_08,F002_09,F002_10,F002_11,F002_12,F002_13,F006,F006_01,F006_02,F006_03,F006_04,F006_05,F006_06,F006_07,F006_08,F006_09,F006_10,F006_11,F006_12,F006_13,F006_14,F008_01,F008_02,F008_03,F008_04,F008_05,F009_01,F009_02,F009_03,F009_04,F009_05,F009_06,F009_07,F009_08,F009_09,F010,F011,F013,F012,F014,F014_02,F015,F016,F017,F018,F004_01,PP01_01,PP01_02,PP01_03,PP01_04,PP01_05,PP01_06,PP01_07,PP04_01,PP04_02,PP04_03,PP04_04,PP06_01,PP06_02,PP06_03,PP06_04,PP05_01,PP05_02,PP05_03,PP05_04,PP05_05,LG01_01,LG01_02,LG01_03,LG01_04,LG01_05,LG01_06,LG01_07,LG01_08,LG01_09,LG01_10,VP01_01,VP01_02,VP01_03,VP01_04,VP01_05,VP01_06,VP01_07,VP01_08,VP01_09,VP01_10,VP01_11,VP01_12,VP01_13,VP01_14,VP02_01,VP02_02,VP02_03,VP02_04,VP02_05,VP02_06,VP02_07,VP02_08,VP02_09,VP02_10,VP02_11,VP02_12,VP03_01,VP03_02,VP03_03,VP03_04,VP03_05,VP03_06,VP03_07,VP03_08,VP03_09,VP03_10,VP03_11,VP03_12,VP03_13,VP03_14,VP03_15,VP03_16,VP04_01,VP04_02,VP04_03,VP04_04,VP04_05,VP04_06,VP04_07,FP01_01,FP01_02,FP01_03,FP01_04,FP01_05,FP01_06,FP01_07,FP01_08,FP01_09,FP01_10,FP01_11,FP01_12,FP01_13,FP02_01,FP02_02,FP02_03,FP02_04,FP02_05,FP02_06,FP02_07,FP02_08,FP02_09,FP02_10,FP02_11,FP02_12,FP02_13,FP02_14,FP02_15,FP02_16,FP02_17,FP02_18,FP02_19,FP02_20,FP03_01,FP03_02,FP03_03,FP03_04,FP03_05,FP03_06,FP03_07,TP01_01,TP01_02,TP01_03,TP01_04,TP01_05,TP01_06,TP02_01,TP02_02,TP02_03,TP02_04,TP02_05,TP02_06,CV19_01,CV19_02,CV19_03,CV19_04,CV19_05,CV19_06,CV22_01,CV22_02,CV22_03,CV22_04,CV22_05,CV22_06,CV22_07,CV22_08,CV22_09,CV22_10,CV22_11,CV22_12,CV25_01,CV26_01,CV27_01,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME019,TIME020,TIME021,TIME022,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
90,,,base,interview,2021-02-10 12:36:10,20,männlich,alleine.,,nicht erwerbstätig.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,29.0,,,,,,,,,,,,,,,,,,,,33.0,,2021-02-10 12:36:43,abgebrochen,Teilnehmer,2.0,2.0,17.0,10.0,,7.0
92,,,base,interview,2021-02-10 12:36:57,19,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,6.0,5.0,,,MA,BU,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,20.0,2.0,NMS,3,Jänner 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,21.0,27.0,,84.0,28015.0,,,,,,,,,,,,,,,,168.0,,2021-02-10 20:26:08,abgebrochen,Teilnehmer,6.0,6.0,14.0,4.0,,12.0
93,,,base,interview,2021-02-10 12:38:50,20,männlich,bei meinen Eltern.,,während des ganzen Semesters erwerbstätig.,3,äußerst wichtig,5.0,,,MA,EN,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,20.0,8.0,NMS,2,Jänner 2021,3.0,trifft voll zu,3.0,3.0,2.0,2,10,,,,8,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,4.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,trifft zu,trifft eher zu,trifft zu,teils/teils,trifft eher nicht zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,,teils/teils,teils/teils,,,,,,,,,,,,trifft voll zu,3.0,trifft voll zu,trifft voll zu,2.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,3.0,3.0,3.0,3.0,trifft voll zu,3.0,3.0,3.0,trifft voll zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,2.0,2.0,4.0,sehr häufig,4.0,4.0,4.0,4.0,4.0,4.0,trifft nicht zu,trifft nicht zu,trifft nicht zu,teils/teils,trifft eher zu,trifft nicht zu,teils/teils,trifft nicht zu,trifft eher zu,trifft zu,trifft zu,trifft eher zu,trifft zu,trifft eher zu,teils/teils,trifft zu,trifft nicht zu,teils/teils,,,GMA17B,5.0,69.0,36.0,,44.0,27.0,66.0,61.0,162.0,,,119.0,,,,,,,,120.0,29.0,738.0,,2021-02-10 12:51:08,ausgefüllt,Teilnehmer,22.0,22.0,9.0,4.0,,7.0
94,,,base,interview,2021-02-10 12:39:01,,weiblich,alleine.,,während des ganzen Semesters erwerbstätig.,7,äußerst wichtig,äußerst wichtig,,,GW,MA,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,20.0,10.0,NMS,2,Jänner 2021,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,7,6,2,0,0,5,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,1.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,teils/teils,teils/teils,teils/teils,teils/teils,trifft nicht zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,62.0,59.0,,64.0,22.0,114.0,56.0,,,,,,,,,,,,,,381.0,,2021-02-10 12:45:22,abgebrochen,Teilnehmer,8.0,8.0,8.0,3.0,,7.0
95,,,base,interview,2021-02-10 12:39:10,20,weiblich,mit meinem*meiner Parnter*in.,,nicht erwerbstätig.,,äußerst wichtig,2.0,,,DE,BU,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,,5.0,NMS,3,Februar 2021,trifft gar nicht zu,2.0,2.0,trifft gar nicht zu,3.0,2,9,1,,0,7,2.0,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,teils/teils,trifft eher nicht zu,teils/teils,trifft zu,teils/teils,trifft eher zu,trifft eher nicht zu,teils/teils,teils/teils,trifft eher nicht zu,trifft eher nicht zu,trifft eher zu,teils/teils,trifft eher nicht zu,,,,,,,,,,,,trifft gar nicht zu,2.0,2.0,trifft gar nicht zu,trifft gar nicht zu,3.0,3.0,2.0,2.0,3.0,2.0,trifft gar nicht zu,2.0,trifft gar nicht zu,trifft gar nicht zu,2.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,trifft eher zu,trifft eher nicht zu,trifft eher zu,teils/teils,trifft eher nicht zu,trifft eher zu,trifft eher nicht zu,trifft nicht zu,trifft zu,trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft eher zu,trifft nicht zu,trifft zu,trifft nicht zu,trifft zu,trifft eher zu,,,STV15B,11.0,19.0,28.0,,35.0,28.0,81.0,46.0,93.0,,,56.0,,,,,,,,69.0,36.0,502.0,,2021-02-10 12:47:32,ausgefüllt,Teilnehmer,22.0,22.0,19.0,13.0,,13.0
96,,,base,interview,2021-02-10 12:40:38,19,männlich,bei meinen Eltern.,,nicht erwerbstätig.,,äußerst wichtig,äußerst wichtig,,,GS,BE,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,29.0,3.0,AHS,3,November 2020,3.0,3.0,3.0,trifft voll zu,trifft voll zu,3,18,0,0,0,8,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,2.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,trifft eher zu,trifft eher zu,teils/teils,trifft eher zu,trifft nicht zu,trifft zu,trifft eher zu,trifft eher zu,trifft eher zu,trifft zu,trifft zu,trifft zu,trifft eher nicht zu,teils/teils,,,,,,,,,,,,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,2.0,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,,,,,trifft voll zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sehr häufig,5.0,sehr häufig,4.0,sehr häufig,sehr häufig,,,,,,,trifft nicht zu,trifft nicht zu,trifft nicht zu,,trifft zu,trifft nicht zu,trifft nicht zu,trifft eher zu,trifft eher nicht zu,trifft nicht zu,trifft eher nicht zu,trifft nicht zu,trifft nicht zu,trifft zu,trifft nicht zu,trifft zu,trifft nicht zu,trifft nicht zu,,,AOG1B,7.0,40.0,52.0,,66.0,62.0,200.0,130.0,198.0,,,88.0,,,,,,,,143.0,62.0,1048.0,,2021-02-10 12:58:06,ausgefüllt,Teilnehmer,22.0,22.0,21.0,15.0,,0.0
97,,,base,interview,2021-02-10 12:40:56,19,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,äußerst wichtig,äußerst wichtig,,,EH,EN,1,nein,2.0,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,25.0,,NMS,4,Jänner 2021,3.0,trifft voll zu,3.0,2.0,trifft voll zu,,,,,,,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,30.0,52.0,,46.0,37.0,63.0,,,,,,,,,,,,,,,232.0,,2021-02-10 12:44:48,abgebrochen,Teilnehmer,7.0,7.0,30.0,22.0,,8.0
98,,,base,interview,2021-02-10 12:41:02,19,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,6.0,6.0,,,DE,BU,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,20.0,6.0,NMS,4,Dezember 2020,3.0,2.0,2.0,3.0,3.0,2,21,03,0,0,68,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,2.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,trifft zu,trifft zu,trifft zu,trifft zu,trifft eher nicht zu,trifft zu,trifft eher zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft eher nicht zu,trifft eher zu,,,,,,,,,,,,3.0,3.0,trifft voll zu,3.0,2.0,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,36.0,41.0,,46.0,39.0,129.0,152.0,127.0,,,,,,,,,,,,,575.0,,2021-02-10 12:50:37,abgebrochen,Teilnehmer,11.0,9.0,7.0,2.0,,0.0
99,,,base,interview,2021-02-10 12:42:37,20,weiblich,bei meinen Eltern.,,gelegentlich während des Semesters erwerbstätig.,6,äußerst wichtig,äußerst wichtig,,,GW,DE,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,,2.0,"BMHS (z. B. HTL, HAK, ...)",20,Jänner 2021,2.0,2.0,2.0,2.0,,,,,,,,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,3.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,trifft eher zu,trifft eher zu,teils/teils,trifft eher zu,trifft nicht zu,teils/teils,trifft nicht zu,trifft eher zu,trifft eher zu,trifft eher zu,trifft eher zu,,trifft eher zu,teils/teils,,,,,,,,,,,"Anfangs hatte die Dozentin Verstädnis für die Situation (meine Kollegin und ich konnten die 5h nicht in Präsenz erledigen), später wurde uns die Schuld daran gegeben. Höchst unprofessionell und unfair.",3.0,2.0,trifft voll zu,3.0,trifft gar nicht zu,trifft voll zu,trifft gar nicht zu,3.0,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft voll zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,5.0,5.0,5.0,5.0,trifft gar nicht zu,trifft gar nicht zu,,,,,trifft eher zu,trifft eher nicht zu,trifft zu,,trifft zu,trifft zu,trifft nicht zu,trifft nicht zu,trifft zu,trifft nicht zu,trifft zu,teils/teils,trifft nicht zu,trifft zu,teils/teils,trifft zu,trifft zu,trifft nicht zu,,,IJM4B,4.0,21.0,34.0,,30.0,24.0,37.0,57.0,181.0,,,78.0,,,,,,,,60.0,35.0,561.0,,2021-02-10 12:51:58,ausgefüllt,Teilnehmer,22.0,22.0,18.0,13.0,,20.0
100,,,base,interview,2021-02-10 12:43:17,19,weiblich,bei meinen Eltern.,,gelegentlich während des Semesters erwerbstätig.,12,4.0,5.0,,,BU,EN,1,ja,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,24.0,4.0,NMS,4,Jänner 2021,3.0,2.0,3.0,3.0,2.0,2,6,2,0,0,50,3.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,6.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,trifft eher zu,trifft eher zu,trifft eher zu,teils/teils,trifft nicht zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,teils/teils,trifft zu,,,,,,,,,,,,3.0,trifft voll zu,3.0,2.0,3.0,2.0,3.0,3.0,2.0,trifft gar nicht zu,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,46.0,37.0,,39.0,32.0,180.0,115.0,231.0,,,,,,,,,,,,,683.0,,2021-02-10 12:54:40,abgebrochen,Teilnehmer,11.0,9.0,5.0,1.0,,6.0
