CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,D001_01,D002,D015,D014,D016,D017_01,D018,PS17_01,PS17_02,PS17_03,PS16,PS15,PS14,PS13,PS12,PS11,PS11_05,PS11_01,PS11_02,PS11_03,PS11_04,PS10,PS09,PS08_01,PS07,PS06,PS04_01,PS19_01,PS20_01,PS03,PS02_01,PS18,KO01_01,KO01_02,KO01_03,KO01_04,KO01_05,F008_06,F008_03,F008_05,F008_07,F008_08,F004_01,PP01_01,PP01_02,PP01_03,PP01_04,PP01_05,PP01_06,PP01_07,PP04_01,PP04_02,PP04_03,PP04_04,PP06_01,PP06_02,PP06_03,PP06_04,PP05_01,PP05_02,PP05_03,PP05_04,PP05_05,PP08_01,PP08_02,PP08_03,LG01_01,LG01_02,LG01_03,LG01_04,LG01_05,LG01_06,LG01_07,LG01_08,LG01_09,LG01_10,LG13_25,LG13_11,LG13_23,LG13_12,LG13_14,LG13_29,LG13_24,LG13_13,LG13_15,LG13_20,LG15_32,LG15_33,LG15_30,LG15_31,LG15_28,LG15_27,LG15_16,LG15_17,VP01_01,VP01_02,VP01_03,VP01_04,VP01_05,VP01_06,VP01_07,VP01_08,VP01_09,VP01_10,VP01_11,VP01_12,VP01_13,VP01_14,VP02_01,VP02_02,VP02_03,VP02_04,VP02_05,VP02_06,VP02_07,VP02_08,VP02_09,VP02_10,VP02_11,VP02_12,VP03_01,VP03_02,VP03_03,VP03_04,VP03_05,VP03_06,VP03_07,VP03_08,VP03_09,VP03_10,VP03_11,VP03_12,VP03_13,VP03_14,VP03_15,VP03_16,VP04_01,VP04_02,VP04_03,VP04_04,VP04_05,VP04_06,VP04_07,FP01_01,FP01_02,FP01_03,FP01_04,FP01_05,FP01_06,FP01_07,FP01_08,FP01_09,FP01_10,FP01_11,FP01_12,FP01_13,FP02_01,FP02_02,FP02_03,FP02_04,FP02_05,FP02_06,FP02_07,FP02_08,FP02_09,FP02_10,FP02_11,FP02_12,FP02_13,FP02_14,FP02_15,FP02_16,FP02_17,FP02_18,FP02_19,FP02_20,FP03_01,FP03_02,FP03_03,FP03_04,FP03_05,FP03_06,FP03_07,TP01_01,TP01_02,TP01_03,TP01_04,TP01_05,TP01_06,TP02_01,TP02_02,TP02_03,TP02_04,TP02_05,TP02_06,CV22_01,CV22_02,CV22_03,CV22_04,CV22_05,CV22_06,CV22_07,CV22_08,CV22_09,CV22_10,CV22_11,CV22_12,CV25_01,CV26_01,CV27_01,CV27_02,CV27_03,CV27_04,CV27_05,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME017,TIME018,TIME019,TIME020,TIME021,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME,filter_$
143,,,base,interview,2021-06-15 09:17:29,,männlich,bei meinen Eltern.,,nicht erwerbstätig.,,Deutsch,äußerst wichtig,äußerst wichtig,,,MA,GS,2,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,22.0,6.0,,MS,3,Mai 2021,trifft voll zu,3.0,3.0,,,trifft eher zu,trifft eher zu,trifft nicht zu,trifft eher zu,trifft zu,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,,,3.0,,trifft voll zu,,,trifft voll zu,,trifft voll zu,trifft voll zu,trifft voll zu,sehr häufig,,nie,nie,,5.0,4.0,4.0,5.0,sehr häufig,nie,nie,4.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,sehr häufig,5.0,5.0,4.0,sehr häufig,,,,,,,trifft nicht zu,trifft nicht zu,teils/teils,trifft nicht zu,trifft nicht zu,teils/teils,teils/teils,trifft eher nicht zu,trifft eher zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,,,M,W,T,23,Br,10.0,32.0,43.0,,47.0,36.0,35.0,51.0,52.0,93.0,162.0,,,,,,,,68.0,52.0,681.0,,2021-06-15 09:28:50,ausgefüllt,Teilnehmer,21.0,21.0,22.0,18.0,,1.0,Not Selected
488,,,base,interview,2021-06-17 14:04:21,,,mit meinem*meiner Parnter*in.,1,während des ganzen Semesters erwerbstätig.,10,Deutsch,,,,,GS,DE,4,ja,1.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,50.0,22.0,7.0,MS,50,Juni 2021,trifft voll zu,trifft voll zu,3.0,3.0,trifft voll zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,teils/teils,,trifft voll zu,3.0,3.0,2.0,2.0,3.0,2.0,trifft voll zu,3.0,2.0,3.0,trifft voll zu,trifft voll zu,3.0,3.0,trifft voll zu,trifft voll zu,trifft voll zu,3.0,3.0,trifft voll zu,trifft voll zu,trifft voll zu,5.0,4.0,2.0,nie,nie,3.0,4.0,5.0,5.0,4.0,2.0,2.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,5.0,5.0,4.0,4.0,nie,5.0,5.0,nie,nie,nie,nie,2.0,5.0,5.0,3.0,nie,4.0,5.0,5.0,5.0,nie,5.0,sehr häufig,sehr häufig,5.0,2.0,3.0,2.0,2.0,sehr häufig,sehr häufig,4.0,5.0,sehr häufig,sehr häufig,sehr häufig,2.0,5.0,,,,,,,,,,,,,trifft nicht zu,trifft nicht zu,trifft eher zu,trifft zu,trifft nicht zu,trifft nicht zu,teils/teils,trifft eher zu,trifft zu,trifft eher nicht zu,trifft eher zu,teils/teils,,,R,R,D,17,B,9.0,21.0,38.0,,48.0,78.0,20.0,87.0,112.0,122.0,437.0,,,,,383.0,56.0,21.0,48.0,24.0,1219.0,,2021-06-17 14:29:25,ausgefüllt,Teilnehmer,21.0,21.0,13.0,10.0,,15.0,Not Selected
595,,,base,interview,2021-06-22 10:51:23,,weiblich,alleine.,2,während des ganzen Semesters erwerbstätig.,13,Deutsch,,,,,IP,DE,8,nein,3.0,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,ja,,,,,200.0,2.0,200.0,MS,,Juli 2021,3.0,3.0,2.0,3.0,trifft voll zu,trifft zu,trifft zu,trifft eher nicht zu,trifft zu,trifft zu,"Ich arbeite gerade auf Vertragsbasis in einer MS, diese Stunden werden mir als Praktikum angerechnet. Ich habe somit keine PP.",trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,2.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft voll zu,trifft gar nicht zu,trifft gar nicht zu,2.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,3.0,trifft gar nicht zu,trifft gar nicht zu,5.0,5.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,nie,2.0,5.0,sehr häufig,sehr häufig,sehr häufig,5.0,nie,nie,4.0,nie,5.0,sehr häufig,sehr häufig,4.0,2.0,nie,nie,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.0,5.0,sehr häufig,sehr häufig,4.0,4.0,4.0,3.0,nie,sehr häufig,2.0,5.0,5.0,5.0,2.0,4.0,2.0,2.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,nie,3.0,sehr häufig,nie,5.0,4.0,nie,sehr häufig,sehr häufig,sehr häufig,nie,nie,nie,,,,,,,2.0,3.0,4.0,trifft gar nicht zu,2.0,4.0,trifft nicht zu,trifft nicht zu,trifft zu,trifft zu,trifft zu,trifft eher zu,teils/teils,trifft eher zu,trifft eher zu,trifft eher nicht zu,trifft eher zu,trifft eher zu,,"Meine ""Praxis"" war ein Sonderfall. Ich arbeite auf Vertragsbasis seit März in einer MS und habe somit keine Praxispädagogin. Auf Fragen zur Kommunikation und Zusammenarbeit mit der PP habe ich von meiner Warte aus geantwortet, wie das mit meinen Teamteaching-Partner*innen in der Schule war bzw. noch ist. <br><br>Grundsätzlich finde ich die Inhalte der Beleit-LV sehr wertvoll, innovativ und fair. Der Alltag in dieser Brennpunktschule sieht bedauerlicher Weise sehr anders aus, ich hatte große Mühe, mich zwischen Theorie an der PH und der Praxis unter den ""alteingesessenen"" Leherern in der Schule zu positionieren, hatte viel Widerstand von dieser Seite.",M,S,A,24,g,69.0,29.0,36.0,,65.0,37.0,55.0,54.0,42.0,74.0,4588.0,,,,,114.0,37.0,54.0,55.0,188.0,832.0,,2021-06-22 12:23:00,ausgefüllt,Teilnehmer,21.0,21.0,8.0,7.0,,2.0,Selected
566,,,base,interview,2021-06-22 09:53:35,,weiblich,alleine.,,während des ganzen Semesters erwerbstätig.,10,Deutsch,äußerst wichtig,äußerst wichtig,,,PuP,DE,2,ja,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,20.0,4.0,,MS,5,Juni 2021,trifft voll zu,trifft voll zu,3.0,3.0,trifft voll zu,teils/teils,,trifft eher zu,teils/teils,trifft eher zu,,3.0,trifft voll zu,3.0,trifft voll zu,trifft gar nicht zu,2.0,2.0,3.0,3.0,trifft gar nicht zu,trifft voll zu,2.0,trifft voll zu,trifft voll zu,3.0,trifft voll zu,2.0,trifft voll zu,3.0,trifft voll zu,3.0,trifft gar nicht zu,2.0,,5.0,4.0,nie,4.0,3.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,nie,nie,nie,2.0,2.0,4.0,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,5.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,trifft nicht zu,trifft nicht zu,trifft eher nicht zu,trifft nicht zu,trifft eher nicht zu,trifft nicht zu,trifft zu,teils/teils,trifft zu,trifft eher zu,trifft eher zu,teils/teils,,,A,C,A,27,B,2.0,99.0,73.0,,87.0,42.0,52.0,113.0,60.0,196.0,407.0,,,,,,,,78.0,37.0,1246.0,,2021-06-22 10:14:21,ausgefüllt,Teilnehmer,21.0,21.0,8.0,4.0,,7.0,Not Selected
397,,,base,interview,2021-06-16 09:38:09,,weiblich,mit meinem*meiner Parnter*in.,,während des ganzen Semesters erwerbstätig.,10,Deutsch,,,,IP,DE,GS,6,nein,1.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,51.0,17.0,6.0,AHS,2,April 2021,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,teils/teils,teils/teils,trifft zu,teils/teils,trifft eher zu,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,3.0,trifft voll zu,3.0,3.0,trifft voll zu,trifft voll zu,3.0,3.0,3.0,3.0,trifft voll zu,trifft voll zu,2.0,4.0,5.0,2.0,5.0,5.0,sehr häufig,sehr häufig,5.0,5.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,3.0,3.0,,3.0,5.0,sehr häufig,4.0,nie,,,4.0,4.0,sehr häufig,4.0,sehr häufig,3.0,2.0,2.0,sehr häufig,sehr häufig,5.0,2.0,nie,nie,nie,4.0,nie,5.0,nie,sehr häufig,4.0,3.0,3.0,sehr häufig,sehr häufig,sehr häufig,4.0,2.0,sehr häufig,sehr häufig,4.0,sehr häufig,5.0,4.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,5.0,trifft voll zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,teils/teils,trifft eher zu,trifft zu,trifft zu,trifft nicht zu,,,C,H,L,12,B,16.0,35.0,53.0,,124.0,46.0,84.0,54.0,70.0,95.0,222.0,,,,,88.0,40.0,80.0,94.0,103.0,1204.0,,2021-06-16 09:58:13,ausgefüllt,Teilnehmer,21.0,21.0,6.0,4.0,,0.0,Not Selected
106,,,base,interview,2021-06-15 07:33:26,,weiblich,mit meinem*meiner Parnter*in.,2,nicht erwerbstätig.,,Deutsch,6.0,6.0,,,IP,BU,6,nein,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ja,,,,,52.0,25.0,11.0,MS,4,Mai 2021,trifft voll zu,trifft voll zu,3.0,3.0,trifft voll zu,teils/teils,teils/teils,teils/teils,trifft eher nicht zu,trifft nicht zu,,trifft voll zu,trifft voll zu,trifft voll zu,3.0,2.0,2.0,2.0,3.0,3.0,2.0,trifft voll zu,2.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,2.0,2.0,2.0,2.0,2.0,trifft voll zu,3.0,3.0,4.0,3.0,nie,nie,2.0,4.0,3.0,4.0,3.0,nie,2.0,2.0,3.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,4.0,2.0,nie,2.0,nie,3.0,nie,nie,nie,nie,2.0,5.0,3.0,nie,5.0,4.0,nie,nie,nie,2.0,2.0,nie,nie,,4.0,,nie,nie,nie,nie,3.0,nie,4.0,3.0,2.0,nie,nie,nie,nie,2.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nie,2.0,2.0,nie,2.0,3.0,trifft gar nicht zu,trifft gar nicht zu,3.0,trifft gar nicht zu,2.0,4.0,trifft nicht zu,trifft nicht zu,trifft eher zu,trifft zu,trifft eher nicht zu,trifft nicht zu,teils/teils,trifft eher nicht zu,teils/teils,teils/teils,trifft zu,trifft zu,,,L,R,E,9,B,22.0,37.0,43.0,,51.0,35.0,35.0,61.0,51.0,76.0,68.0,118.0,81.0,70.0,121.0,,,,60.0,42.0,971.0,,2021-06-15 07:49:37,ausgefüllt,Teilnehmer,21.0,21.0,5.0,3.0,,3.0,Selected
574,,,base,interview,2021-06-22 09:53:52,,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,Deutsch,6.0,6.0,,,CH,EN,2,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,24.0,13.0,,MS,3,Juni 2021,3.0,3.0,2.0,2.0,trifft voll zu,trifft zu,trifft eher zu,teils/teils,trifft eher zu,trifft eher zu,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,4.0,sehr häufig,3.0,nie,5.0,sehr häufig,5.0,5.0,5.0,nie,2.0,nie,2.0,nie,nie,nie,nie,nie,nie,nie,2.0,nie,nie,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,3.0,3.0,4.0,5.0,5.0,trifft voll zu,5.0,5.0,5.0,5.0,trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft eher nicht zu,trifft eher zu,trifft eher nicht zu,trifft eher nicht zu,trifft zu,trifft eher zu,trifft eher nicht zu,trifft nicht zu,trifft eher zu,,,A,G,I,19,B,9.0,31.0,48.0,,129.0,50.0,46.0,66.0,51.0,107.0,233.0,,,,,,,,77.0,32.0,879.0,,2021-06-22 10:08:31,ausgefüllt,Teilnehmer,21.0,21.0,7.0,3.0,,2.0,Not Selected
695,,,base,interview,2021-06-24 11:12:32,,weiblich,mit meinem*meiner Parnter*in.,1,nicht erwerbstätig.,,Deutsch,äußerst wichtig,äußerst wichtig,,,IP,DE,6,ja,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,30.0,15.0,2.0,MS,2,März 2021,3.0,2.0,3.0,3.0,2.0,trifft eher zu,trifft eher zu,trifft eher zu,teils/teils,trifft eher zu,,3.0,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,2.0,2.0,3.0,3.0,3.0,trifft voll zu,3.0,3.0,3.0,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,sehr häufig,sehr häufig,5.0,3.0,4.0,sehr häufig,sehr häufig,nie,sehr häufig,sehr häufig,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,trifft eher zu,teils/teils,trifft zu,trifft zu,teils/teils,trifft eher zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft eher nicht zu,teils/teils,,,Z,S,S,30,B,7.0,23.0,30.0,,62.0,11.0,8.0,10.0,9.0,37.0,80.0,,,,,,,,44.0,39.0,360.0,,2021-06-24 11:18:32,ausgefüllt,Teilnehmer,21.0,21.0,6.0,2.0,,63.0,Not Selected
462,,,base,interview,2021-06-17 09:01:22,,männlich,bei meinen Eltern.,,nicht erwerbstätig.,,Deutsch,äußerst wichtig,6.0,,,GW,BSP,2,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,55.0,15.0,10.0,MS,3,Juni 2021,trifft voll zu,trifft voll zu,3.0,3.0,trifft voll zu,trifft zu,trifft zu,trifft eher nicht zu,trifft zu,trifft zu,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,3.0,3.0,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,5.0,4.0,3.0,4.0,4.0,sehr häufig,4.0,5.0,5.0,sehr häufig,2.0,2.0,2.0,nie,3.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft nicht zu,teils/teils,trifft nicht zu,teils/teils,trifft eher nicht zu,trifft nicht zu,teils/teils,trifft zu,trifft zu,trifft zu,trifft zu,teils/teils,,,K,K,J,15,B,4.0,31.0,44.0,,64.0,28.0,32.0,43.0,33.0,55.0,89.0,,,,,,,,69.0,44.0,536.0,,2021-06-17 09:10:18,ausgefüllt,Teilnehmer,21.0,21.0,6.0,2.0,,7.0,Not Selected
629,,,base,interview,2021-06-22 14:08:10,,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,Deutsch,äußerst wichtig,äußerst wichtig,,,EN,GW,2,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,24.0,12.0,2.0,MS,2,April 2021,3.0,2.0,3.0,3.0,2.0,trifft eher zu,trifft zu,trifft eher nicht zu,teils/teils,trifft zu,"Lehrreiche, bemühte Praxislehrkraft",trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,3.0,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,sehr häufig,sehr häufig,sehr häufig,3.0,5.0,sehr häufig,5.0,sehr häufig,sehr häufig,sehr häufig,4.0,5.0,3.0,2.0,nie,nie,nie,nie,nie,nie,nie,nie,3.0,nie,nie,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,2.0,5.0,3.0,trifft gar nicht zu,trifft eher nicht zu,trifft nicht zu,teils/teils,trifft nicht zu,teils/teils,teils/teils,trifft eher zu,teils/teils,trifft eher zu,trifft eher nicht zu,trifft zu,teils/teils,,,,,,,,5.0,22.0,82.0,,162.0,67.0,49.0,66.0,35.0,80.0,210.0,,,,,,,,70.0,,848.0,,2021-06-22 14:22:18,abgebrochen,Teilnehmer,20.0,20.0,4.0,2.0,,3.0,Not Selected
