CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,SD01_01,SD02,SD15,SD14_02,SD16,SD17_01,SD18,SD19,SD20,SD21_01,SD21_02,SD21_03,SD22_01,SD22_02,SD22_03,SD22_04,SD22_05,SD22_06,SD22_07,SD22_08,SD22_09,PS17_01,PS17_02,PS17_03,PS16,PS15,PS14,PS13,PS22,PS11,PS10,PS04_01,PS19_01,PS19_02,PS03,PS18,KO01_01,KO01_02,KO01_03,KO01_04,KO01_05,F008_01,F008_02,F008_03,F008_04,F008_05,F008_06,F008_07,F008_08,PP01_01,PP01_02,PP01_03,PP01_04,PP01_05,PP01_06,PP01_07,PP04_01,PP04_02,PP04_03,PP04_04,PP08_01,PP08_02,PP08_03,LG01_01,LG01_02,LG01_03,LG01_04,LG01_05,LG01_06,LG01_07,LG01_08,LG01_09,LG16_01,LG16_02,LG16_03,LG16_04,LG16_05,LG16_06,LG16_07,LG16_08,LG16_09,LG16_10,LG16_11,LG18_01,LG18_02,LG18_03,LG18_04,LG18_05,LG18_06,LG18_07,LG18_08,LG18_09,LG18_10,LG18_11,LG18_12,LG18_13,LG18_14,LG18_15,LG17_01,LG17_02,LG17_03,LG17_04,LG17_05,LG17_06,LG17_07,LG17_08,TP01_01,TP01_02,TP01_03,TP01_04,TP01_05,TP01_06,TP02_01,TP02_02,TP02_03,TP02_04,TP02_05,TP02_06,TP03_01,TP03_02,TP03_03,TP03_04,CV26_01,CV27_01,CV27_02,CV27_03,CV27_04,CV27_05,EP01,EP01_01,EP01_02,EP01_03,EP01_04,EP01_05,EP01_06,EP01_07,EP01_08,EP01_09,EP01_10,EP01_11,EP01_12,EP01_13,EP01_14,EP01_15,EP01_16,EP02_01,EP02_02,EP02_03,EP02_04,EP02_05,EP02_06,EP02_07,EP02_08,EP02_09,EP02_11,EP02_12,EP03_01,EP03_02,EP03_03,EP03_04,EP03_05,EP03_06,EP03_07,EP04_01,EP04_02,EP04_03,EP04_04,EP05_01,EP05_02,EP05_03,EP05_04,EP05_05,EP05_06,EP06_01,EP06_02,EP06_03,EP06_04,BP01_01,BP01_02,BP01_03,BP01_04,BP01_05,BP01_06,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME021,TIME022,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
262,,,base,interview,2022-01-24 14:51:02,19,weiblich,andere Lebensform.,,nicht erwerbstätig.,,Deutsch,der oberen Mittelschicht,der oberen Mittelschicht,9.0,9.0,9.0,Trifft überhaupt nicht zu,Trifft voll und ganz zu,Trifft eher nicht zu,Trifft eher nicht zu,Trifft überhaupt nicht zu,Trifft voll und ganz zu,Trifft eher zu,Trifft voll und ganz zu,Trifft eher nicht zu,,,,,MA,BU,WiSe 2021/22,Sonstiges,Einführungspraktikum A,ja,20,5.0,0,MS,Dezember 2021,trifft voll zu,trifft voll zu,4.0,trifft voll zu,trifft voll zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,3.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,4.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft gar nicht zu,trifft voll und ganz zu,trifft voll zu,trifft voll zu,trifft voll zu,,sehr häufig,nie,nie,5.0,sehr häufig,sehr häufig,sehr häufig,5.0,,,,,,,sehr häufig,sehr häufig,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,36.0,56.0,23.0,53.0,14.0,39.0,65.0,50.0,50.0,35.0,67.0,65.0,70.0,40.0,,,,,,,668.0,,2022-01-24 15:02:10,abgebrochen,Teilnehmer,16.0,16.0,39.0,35.0,,2.0
194,,,base,interview,2022-01-24 12:37:07,21,weiblich,bei meinen Eltern.,0,erwerbstätig.,9,Andere Sprache,der Mittelschicht,der Arbeiterschicht,5.0,4.0,7.0,Trifft eher nicht zu,Trifft eher zu,Trifft eher zu,Trifft eher nicht zu,Trifft überhaupt nicht zu,Trifft eher zu,Trifft eher zu,Trifft eher nicht zu,Trifft eher zu,,äußerst wichtig,,Kein Erweiterungsfach,Sonstiges,DE,WiSe 2020/21,MA,Einführungspraktikum A,ja,25,5.0,20,MS,November 2021,4.0,4.0,3.0,4.0,3.0,4.0,trifft zu,trifft zu,5.0,trifft zu,trifft zu,trifft zu,trifft zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,2.0,trifft voll und ganz zu,trifft voll zu,trifft voll zu,trifft voll zu,nie,5.0,5.0,nie,sehr häufig,4.0,sehr häufig,4.0,4.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,4.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,2.0,3.0,nie,3.0,sehr häufig,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trifft gar nicht zu,trifft gar nicht zu,trifft voll und ganz zu,trifft gar nicht zu,trifft gar nicht zu,,5.0,17.0,47.0,10.0,37.0,14.0,45.0,83.0,42.0,56.0,55.0,60.0,30.0,44.0,51.0,,,,,,,596.0,,2022-01-24 12:47:03,abgebrochen,Teilnehmer,16.0,16.0,3.0,2.0,,8.0
487,,,base,interview,2022-02-04 15:14:38,,männlich,alleine.,0,nicht erwerbstätig.,0,Deutsch,der Mittelschicht,der Mittelschicht,,trifft überhaupt nicht zu,,Weder noch,Weder noch,Weder noch,Weder noch,Weder noch,Weder noch,Weder noch,Weder noch,Weder noch,,,,,BU,BE,WiSe 2019/20,BU,Vertiefungspraktikum A,ja,52,5.0,5,ASO,November 2021,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,3.0,12.0,13.0,13.0,17.0,11.0,14.0,25.0,19.0,13.0,12.0,12.0,9.0,13.0,9.0,,,,,,,195.0,,2022-02-04 15:17:54,abgebrochen,Teilnehmer,16.0,16.0,6.0,5.0,,107.0
155,,,base,interview,2022-01-24 12:16:08,26,weiblich,mit meinem*meiner Partner*in.,0,nicht erwerbstätig.,,Deutsch,der oberen Mittelschicht,der Mittelschicht,8.0,8.0,8.0,Trifft überhaupt nicht zu,Trifft eher nicht zu,Trifft überhaupt nicht zu,Trifft eher nicht zu,Trifft eher nicht zu,Trifft voll und ganz zu,Trifft eher nicht zu,Trifft voll und ganz zu,Weder noch,äußerst wichtig,äußerst wichtig,,Kein Erweiterungsfach,PuP,EN,WiSe 2018/19,PuP,Vertiefungspraktikum A,ja,51,13.0,12,AHS,Dezember 2021,trifft voll zu,trifft voll zu,5.0,5.0,trifft voll zu,4.0,4.0,5.0,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,,trifft gar nicht zu,trifft voll und ganz zu,trifft voll zu,trifft voll zu,trifft voll zu,sehr häufig,5.0,4.0,nie,sehr häufig,4.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,3.0,2.0,5.0,4.0,sehr häufig,nie,4.0,4.0,2.0,4.0,5.0,5.0,5.0,4.0,sehr häufig,5.0,5.0,sehr häufig,sehr häufig,5.0,4.0,5.0,4.0,5.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,sehr häufig,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,trifft gar nicht zu,trifft voll und ganz zu,trifft voll und ganz zu,3.0,22.0,40.0,19.0,46.0,11.0,46.0,107.0,38.0,29.0,61.0,45.0,61.0,88.0,58.0,,,,,,,674.0,,2022-01-24 12:27:22,abgebrochen,Teilnehmer,16.0,16.0,3.0,2.0,,6.0
501,,,base,interview,2022-02-05 13:15:03,23,weiblich,mit anderen Personen zusammen.,,nicht erwerbstätig.,,Deutsch,der oberen Mittelschicht,der oberen Mittelschicht,5.0,5.0,5.0,Trifft überhaupt nicht zu,Trifft eher zu,Trifft eher nicht zu,Trifft eher zu,Trifft eher zu,Trifft voll und ganz zu,Trifft eher nicht zu,Trifft eher zu,Trifft eher nicht zu,äußerst wichtig,äußerst wichtig,,,MA,GW,WiSe 2018/19,GW,Vertiefungspraktikum A,ja,59,15.0,12,MS,Dezember 2021,trifft voll zu,5.0,4.0,5.0,5.0,trifft zu,4.0,trifft zu,5.0,3.0,trifft zu,trifft zu,trifft zu,4.0,trifft voll und ganz zu,trifft voll und ganz zu,3.0,4.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft gar nicht zu,trifft voll und ganz zu,trifft voll zu,2.0,2.0,sehr häufig,sehr häufig,4.0,2.0,3.0,5.0,sehr häufig,4.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,5.0,5.0,4.0,sehr häufig,5.0,sehr häufig,sehr häufig,2.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,nie,5.0,sehr häufig,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trifft gar nicht zu,trifft gar nicht zu,4.0,trifft gar nicht zu,2.0,3.0,3.0,35.0,85.0,27.0,42.0,10.0,48.0,73.0,48.0,58.0,80.0,154.0,58.0,177.0,141.0,,,,,,,836.0,,2022-02-05 13:32:23,abgebrochen,Teilnehmer,16.0,16.0,4.0,2.0,,3.0
393,,,base,interview,2022-01-25 17:31:36,22,weiblich,alleine.,0,erwerbstätig.,15,Deutsch,der Mittelschicht,der Arbeiterschicht,5.0,4.0,6.0,Trifft eher nicht zu,Trifft eher zu,Trifft eher zu,Weder noch,Trifft überhaupt nicht zu,Trifft eher zu,Trifft eher nicht zu,Trifft voll und ganz zu,Weder noch,äußerst wichtig,4.0,,Kein Erweiterungsfach,GW,MA,WiSe 2018/19,GW,Vertiefungspraktikum B,ja,40,5.0,8,"BMHS (z. B. HTL, HAK, ...)",November 2021,5.0,5.0,3.0,5.0,5.0,5.0,trifft zu,4.0,4.0,4.0,trifft zu,4.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,4.0,5.0,trifft gar nicht zu,trifft voll und ganz zu,trifft voll zu,2.0,3.0,5.0,2.0,3.0,3.0,sehr häufig,3.0,4.0,3.0,2.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,5.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,sehr häufig,4.0,nie,sehr häufig,sehr häufig,4.0,sehr häufig,sehr häufig,sehr häufig,4.0,5.0,sehr häufig,sehr häufig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,5.0,3.0,trifft voll und ganz zu,trifft voll und ganz zu,7.0,20.0,55.0,12.0,31.0,11.0,25.0,63.0,38.0,33.0,39.0,46.0,27.0,50.0,460.0,,,,,,,500.0,,2022-01-25 17:46:54,abgebrochen,Teilnehmer,16.0,16.0,1.0,0.0,,12.0
126,,,base,interview,2022-01-24 11:50:52,22,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,Deutsch,der Mittelschicht,der Mittelschicht,6.0,6.0,6.0,Trifft überhaupt nicht zu,Trifft voll und ganz zu,Weder noch,Trifft eher zu,Trifft eher zu,Weder noch,Trifft eher zu,Trifft eher zu,Weder noch,äußerst wichtig,5.0,,,BU,EN,WiSe 2018/19,EN,Vertiefungspraktikum A,ja,45,15.0,11,MS,Dezember 2021,trifft voll zu,4.0,3.0,5.0,5.0,5.0,5.0,2.0,trifft nicht zu,4.0,4.0,trifft zu,3.0,2.0,trifft gar nicht zu,2.0,3.0,4.0,5.0,2.0,2.0,3.0,5.0,5.0,3.0,trifft gar nicht zu,2.0,4.0,3.0,5.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,5.0,4.0,sehr häufig,3.0,sehr häufig,5.0,5.0,5.0,4.0,sehr häufig,2.0,5.0,4.0,nie,nie,2.0,nie,4.0,2.0,3.0,nie,5.0,nie,4.0,4.0,nie,2.0,4.0,5.0,3.0,3.0,sehr häufig,nie,3.0,4.0,3.0,3.0,5.0,trifft voll und ganz zu,3.0,5.0,2.0,2.0,3.0,trifft voll und ganz zu,2.0,trifft gar nicht zu,2.0,trifft gar nicht zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,5.0,4.0,trifft voll und ganz zu,5.0,8.0,25.0,54.0,113.0,40.0,8.0,104.0,65.0,47.0,44.0,37.0,78.0,57.0,75.0,36.0,105.0,,,,,,733.0,,2022-01-24 12:05:48,abgebrochen,Teilnehmer,17.0,17.0,3.0,2.0,,4.0
151,,,base,interview,2022-01-24 12:12:16,19,weiblich,bei meinen Eltern.,0,nicht erwerbstätig.,,Deutsch,der oberen Mittelschicht,der oberen Mittelschicht,6.0,6.0,5.0,Trifft eher nicht zu,Weder noch,Weder noch,Trifft voll und ganz zu,Trifft überhaupt nicht zu,Trifft eher nicht zu,Weder noch,Trifft voll und ganz zu,Weder noch,äußerst wichtig,äußerst wichtig,,,GS,DE,WiSe 2021/22,DE,Einführungspraktikum A,ja,20,2.0,0,MS,Jänner 2022,5.0,4.0,5.0,trifft voll zu,trifft voll zu,trifft zu,5.0,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft voll und ganz zu,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft gar nicht zu,trifft voll und ganz zu,trifft voll zu,trifft voll zu,trifft voll zu,nie,sehr häufig,4.0,sehr häufig,3.0,sehr häufig,sehr häufig,sehr häufig,,nie,,,,,,sehr häufig,sehr häufig,sehr häufig,,,,,,,,,,5.0,,,,,,,,,,,sehr häufig,,3.0,,,,,,,,,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,trifft voll und ganz zu,2.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,,,,,,,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,trifft voll und ganz zu,4.0,4.0,5.0,3.0,38.0,87.0,18.0,39.0,14.0,37.0,162.0,53.0,94.0,87.0,598.0,38.0,18.0,20.0,58.0,28.0,,,,,843.0,,2022-01-24 12:35:28,abgebrochen,Teilnehmer,18.0,18.0,29.0,26.0,,16.0
317,,,base,interview,2022-01-24 18:38:04,18,weiblich,mit meinem*meiner Partner*in.,0,nicht erwerbstätig.,,Deutsch,der Mittelschicht,der Mittelschicht,6.0,6.0,6.0,Weder noch,Trifft eher zu,Weder noch,Trifft eher zu,Trifft überhaupt nicht zu,Weder noch,Trifft eher nicht zu,Trifft eher zu,Weder noch,6.0,äußerst wichtig,,,BE,DE,WiSe 2021/22,MA,Einführungspraktikum A,ja,20,5.0,0,MS,Dezember 2021,5.0,trifft voll zu,4.0,5.0,5.0,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,2.0,trifft voll und ganz zu,trifft voll zu,trifft voll zu,trifft voll zu,,sehr häufig,4.0,nie,5.0,sehr häufig,4.0,,4.0,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,nie,nie,nie,nie,2.0,nie,nie,2.0,2.0,nie,nie,5.0,sehr häufig,sehr häufig,3.0,nie,sehr häufig,4.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,trifft voll und ganz zu,5.0,5.0,,,,,,,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,5.0,5.0,5.0,5.0,sehr häufig,sehr häufig,sehr häufig,5.0,5.0,5.0,5.0,5.0,sehr häufig,2.0,5.0,4.0,sehr häufig,5.0,,,,,,,,,,,,,,,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,,trifft voll und ganz zu,4.0,27.0,69.0,20.0,47.0,35.0,47.0,95.0,41.0,55.0,69.0,79.0,26.0,101.0,69.0,142.0,9.0,82.0,106.0,,,1100.0,,2022-01-24 18:56:47,abgebrochen,Teilnehmer,20.0,20.0,12.0,10.0,,11.0
482,,,base,interview,2022-02-04 13:41:07,25,männlich,mit meinem*meiner Partner*in.,0,erwerbstätig.,10,Deutsch,der Mittelschicht,der Arbeiterschicht,8.0,7.0,7.0,Trifft überhaupt nicht zu,Trifft eher zu,Trifft voll und ganz zu,Weder noch,Trifft eher nicht zu,Trifft voll und ganz zu,Trifft voll und ganz zu,Weder noch,Trifft eher zu,6.0,6.0,,,PuP,MA,WiSe 2017/18,MA,Vertiefungspraktikum B,ja,40,10.0,10,AHS,Jänner 2022,5.0,5.0,3.0,3.0,5.0,trifft zu,trifft zu,trifft zu,3.0,5.0,trifft zu,trifft zu,5.0,5.0,trifft voll und ganz zu,5.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,trifft voll und ganz zu,trifft voll zu,3.0,2.0,2.0,4.0,nie,nie,3.0,2.0,2.0,5.0,nie,2.0,2.0,3.0,3.0,5.0,3.0,5.0,2.0,2.0,4.0,3.0,nie,2.0,nie,nie,2.0,nie,nie,nie,nie,2.0,nie,nie,nie,3.0,2.0,2.0,2.0,5.0,2.0,3.0,4.0,3.0,4.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,4.0,trifft voll und ganz zu,5.0,trifft voll und ganz zu,4.0,trifft voll und ganz zu,4.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,,,,,,,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,sehr häufig,4.0,2.0,3.0,5.0,4.0,5.0,sehr häufig,sehr häufig,sehr häufig,nie,2.0,3.0,5.0,2.0,5.0,5.0,2.0,,,,,,,,,,,,,,,4.0,trifft voll und ganz zu,trifft voll und ganz zu,5.0,trifft voll und ganz zu,trifft voll und ganz zu,9.0,14.0,58.0,46.0,46.0,9.0,33.0,64.0,88.0,42.0,27.0,29.0,576.0,43.0,31.0,77.0,17.0,63.0,83.0,,,805.0,,2022-02-04 14:03:42,abgebrochen,Teilnehmer,20.0,20.0,1.0,0.0,,12.0
