CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME,SC01,SD01_01,SD02,SD03_01,SD04,SD05,SD06,SD08_01,SD08_02,SD08_03,SD08_04,SD08_05,SD08_06,SD08_07,SD09,LV03_01,SW01_01,SW01_02,SW01_03,SW01_04,SW01_05,RS01_01,RS01_02,RS01_03,RS01_04,RS01_05,RS01_06,RS01_07,RS01_08,RS01_09,RS01_10,RS01_11,RS01_12,RS01_13,BE01_01,BE01_02,BE01_03,BE01_04,BE01_05,BE01_06,BE01_07,BE01_08,BE01_09,BE01_10,BE01_11,BE01_12,BE02_01,BE02_02,BE02_03,BE02_04,BE02_05,BE02_06,BE02_07,BL01_01,BL01_02,BL01_03,BL01_04,BL03_01,BL03_02,BL03_03,BL03_04,BL03_05,BL03_06,BL03_07,BL03_08,EN01_01,CO01_01,SC03,SC04,SD10,LV01_01,LV02,IP01,IP06_01,IP06_02,IP06_03,IP06_04,IP06_05,BE03_01,BL02_01,BL02_02,BL02_03,BL02_04,BL04_01,BL04_02,BL04_03,BL04_04,BL04_05,BL04_06,BL04_07,BL04_08,BL04_09,SD07_01,IP02_01,IP02_02,IP02_03,IP02_04,IP02_05,IP02_06,IP03_01,IP04,IP05_01,PP01_01,PP01_02,PP01_03,PP01_04,PP01_05,PP01_06,PP01_07,PP01_08,PP01_09,PP01_10,PP02_01,PP02_02,PP02_03,PP02_04,PP02_05,TP01_01,TP01_02,TP01_03,TP01_04,TP01_05,TP01_06,TP01_07,TP03_01,TP03_02,TP03_03,TP03_04,TP03_05,BL05_01,BL05_02,BL05_03,BL05_04,BL05_05,BL05_06,BL05_07,BL05_08,BL05_09,TP02_01,TP02_02,TP02_03,TP02_04,TP02_05,TP02_06,TP02_07,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME021,TIME022,TIME023,TIME024,TIME025,TIME026,TIME027,TIME028,TIME029,TIME030,TIME031,TIME032,TIME_SUM,MAILSENT,LASTDATA
1146,,,base,interview,2023-05-27 09:27:17,ausgefüllt,Teilnehmer,32.0,32.0,1.0,0.0,1.02,11.0,Ja,23.0,weiblich,0.0,Master Lehramt Sekundarstufe (Allgemeinbildung),SoSe 2023,Ich bin an einer Schule als Lehrkraft tätig.,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,durch Anerkennung von Unterichtstätigkeit,nein,24.0,4.0,4.0,3.0,5.0,5.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,5.0,6.0,6.0,5.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,5.0,5.0,4.0,6.0,4.0,5.0,5.0,4.0,trifft voll und ganz zu,5.0,5.0,3.0,3.0,4.0,4.0,4.0,trifft nicht zu,trifft zu,trifft nicht zu,trifft zu,3.0,3.0,3.0,5.0,5.0,trifft voll und ganz zu,5.0,4.0,stimme vollständig zu,4.0,stimme vollständig zu,stimme vollständig zu,3.0,3.0,4.0,,IHT24G,Ja,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",MS,11.0,überwiegend fachfremd,Ich bin gerade in der Induktionsphase.,trifft voll und ganz zu,5.0,4.0,5.0,5.0,2.0,2.0,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft zu,3.0,3.0,trifft zu,trifft zu,2.0,3.0,3.0,2.0,,häufig,manchmal,manchmal,selten,selten,nie,90.0,überwiegend in den gleichen Fächern wie ich,ja,4.0,trifft voll und ganz zu,5.0,trifft voll und ganz zu,trifft voll und ganz zu,5.0,4.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,4.0,trifft voll und ganz zu,trifft voll und ganz zu,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,18.0,35.0,6.0,27.0,8.0,,16.0,6.0,4.0,10.0,6.0,7.0,47.0,8.0,85.0,788.0,42.0,29.0,82.0,83.0,74.0,12.0,,,22.0,12.0,75.0,54.0,4.0,15.0,17.0,784.0,,2023-05-27 09:53:55
696,,,base,interview,2023-05-13 08:34:23,ausgefüllt,Teilnehmer,32.0,32.0,0.0,0.0,0.72,1.0,Ja,31.0,weiblich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2020/21,Ich bin an einer Schule als Lehrkraft tätig und anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,noch nicht absolviert,noch nicht absolviert,ja,40.0,5.0,4.0,3.0,5.0,5.0,6.0,5.0,5.0,5.0,ja Ich stimme völlig zu,5.0,5.0,4.0,6.0,5.0,5.0,3.0,5.0,5.0,4.0,trifft voll und ganz zu,4.0,4.0,trifft voll und ganz zu,5.0,5.0,4.0,trifft voll und ganz zu,5.0,5.0,trifft nicht zu,3.0,2.0,trifft zu,trifft zu,trifft zu,trifft zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,4.0,stimme vollständig zu,stimme vollständig zu,4.0,3.0,3.0,3.0,2.0,"Lehrveranstaltungen wie Stimmbildung und Arbeitsblattbearbeitung, ev. Einführung in versch. Programmen wären sinnvoller als so viele Praktika und Begleit-LVs.",MHB27B,Eher Nein,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",MS,8.0,ausschließlich fachfremd,Ich bin gerade in der Induktionsphase.,trifft voll und ganz zu,3.0,trifft voll und ganz zu,trifft voll und ganz zu,4.0,3.0,2.0,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft zu,trifft zu,trifft zu,trifft zu,3.0,trifft zu,trifft zu,3.0,3.0,15.0,manchmal,manchmal,häufig,selten,nie,manchmal,60.0,ausschließlich in anderen Fächern,ja,trifft voll und ganz zu,5.0,trifft gar nicht zu,5.0,4.0,5.0,3.0,4.0,trifft voll und ganz zu,4.0,2.0,2.0,2.0,trifft gar nicht zu,4.0,2.0,trifft gar nicht zu,trifft gar nicht zu,3.0,5.0,4.0,trifft voll und ganz zu,trifft voll und ganz zu,4.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,3.0,trifft zu,trifft zu,,,,,,,,10.0,7.0,7.0,7.0,13.0,23.0,19.0,29.0,7.0,8.0,20.0,233.0,10.0,39.0,18.0,34.0,38.0,58.0,44.0,86.0,92.0,32.0,16.0,65.0,34.0,34.0,27.0,85.0,105.0,99.0,50.0,17.0,1143.0,,2023-05-13 08:57:11
868,,,base,interview,2023-05-23 14:07:27,ausgefüllt,Teilnehmer,32.0,32.0,0.0,0.0,0.8,2.0,Ja,25.0,männlich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2021/22,Ich bin an einer Schule als Lehrkraft tätig und anderweitig erwerbstätig.,Praktikum absolviert,Praktikum absolviert,durch Anerkennung von Unterichtstätigkeit,Praktikum absolviert,durch Anerkennung von Unterichtstätigkeit,noch nicht absolviert,noch nicht absolviert,ja,36.0,trifft voll zu,5.0,5.0,trifft voll zu,trifft voll zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,5.0,ja Ich stimme völlig zu,6.0,5.0,ja Ich stimme völlig zu,4.0,6.0,2.0,6.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,trifft voll und ganz zu,5.0,trifft voll und ganz zu,3.0,4.0,5.0,2.0,trifft zu,trifft nicht zu,3.0,trifft nicht zu,trifft zu,trifft zu,3.0,3.0,4.0,trifft gar nicht zu,4.0,stimme vollständig zu,stimme vollständig zu,4.0,4.0,stimme vollständig zu,3.0,4.0,"Die Begleitlehrveranstaltungen dringend praxisnäher gestalten!!! - BSP: 1 Unterrichtsplanung für 1 Stunde muss 5 Seiten lang sein (schlichtweg nicht notwendig, zu viel Arbeit und wird in der Praxis so nie angewendet)",EFF22B,Eher Nein,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",MS,8.0,überwiegend in meinen Fächern,Ich bin gerade in der Induktionsphase.,trifft voll und ganz zu,trifft voll und ganz zu,4.0,trifft voll und ganz zu,4.0,die Arbeit an der Schule,2.0,trifft nicht zu,2.0,trifft nicht zu,trifft zu,trifft zu,trifft zu,trifft zu,2.0,trifft zu,trifft zu,trifft nicht zu,3.0,10.0,häufig,manchmal,nie,manchmal,nie,selten,60.0,überwiegend in den gleichen Fächern wie ich,ja,5.0,4.0,3.0,trifft voll und ganz zu,trifft voll und ganz zu,4.0,3.0,trifft voll und ganz zu,5.0,trifft voll und ganz zu,2.0,4.0,3.0,3.0,2.0,2.0,trifft gar nicht zu,3.0,2.0,trifft gar nicht zu,3.0,4.0,5.0,3.0,4.0,4.0,5.0,trifft zu,trifft zu,trifft zu,trifft zu,3.0,trifft zu,2.0,trifft nicht zu,3.0,,,,,,,,15.0,15.0,6.0,6.0,23.0,8.0,17.0,21.0,8.0,7.0,18.0,7.0,15.0,40.0,13.0,32.0,42.0,82.0,40.0,74.0,189.0,30.0,9.0,59.0,53.0,18.0,23.0,45.0,77.0,98.0,33.0,17.0,1140.0,,2023-05-23 14:26:27
588,,,base,interview,2023-05-11 15:40:28,ausgefüllt,Teilnehmer,32.0,32.0,1.0,0.0,1.23,18.0,Ja,25.0,männlich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),SoSe 2023,Ich bin an einer Schule als Lehrkraft tätig.,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,durch Anerkennung von Unterichtstätigkeit,durch Anerkennung von Unterichtstätigkeit,noch nicht absolviert,nein,32.0,4.0,5.0,5.0,5.0,5.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,5.0,6.0,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,trifft nicht zu,trifft zu,3.0,trifft zu,3.0,trifft zu,trifft zu,4.0,3.0,trifft voll und ganz zu,trifft voll und ganz zu,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,,MJG14G,Nein,"Manchmal habe ich irgendetwas geklickt, weil ich unmotiviert war oder mich einfach nicht ausgekannt habe.",MS,9.0,überwiegend in meinen Fächern,Ich bin gerade in der Induktionsphase.,trifft voll und ganz zu,4.0,5.0,5.0,3.0,das Studium,4.0,5.0,5.0,5.0,trifft zu,3.0,trifft zu,3.0,trifft zu,3.0,trifft zu,3.0,trifft zu,,häufig,selten,manchmal,nie,nie,manchmal,60.0,überwiegend in den gleichen Fächern wie ich,ja,2.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,2.0,3.0,2.0,trifft gar nicht zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,6.0,9.0,4.0,6.0,7.0,,32.0,5.0,11.0,23.0,7.0,9.0,41.0,13.0,20.0,38.0,55.0,45.0,60.0,35.0,23.0,5.0,,,29.0,8.0,31.0,11.0,3.0,49.0,21.0,645.0,,2023-05-11 15:51:13
656,,,base,interview,2023-05-12 17:16:31,ausgefüllt,Teilnehmer,32.0,32.0,1.0,0.0,0.94,6.0,Ja,,weiblich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),SoSe 2023,Ich bin an einer Schule als Lehrkraft tätig.,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,durch Anerkennung von Unterichtstätigkeit,durch Anerkennung von Unterichtstätigkeit,noch nicht absolviert,noch nicht absolviert,nein,29.0,5.0,5.0,5.0,5.0,5.0,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,4.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,2.0,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,5.0,5.0,3.0,5.0,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,4.0,stimme vollständig zu,4.0,,MTA17G,Eher Nein,"Manchmal habe ich irgendetwas geklickt, weil ich unmotiviert war oder mich einfach nicht ausgekannt habe.",MS,8.0,überwiegend in meinen Fächern,Ich bin gerade in der Induktionsphase.,trifft voll und ganz zu,trifft voll und ganz zu,4.0,5.0,4.0,2.0,2.0,2.0,trifft nicht zu,2.0,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,3.0,trifft zu,trifft zu,,manchmal,manchmal,nie,manchmal,manchmal,nie,60.0,überwiegend in anderen Fächern,ja,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,4.0,4.0,trifft gar nicht zu,4.0,4.0,5.0,2.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,9.0,16.0,5.0,8.0,9.0,,30.0,5.0,5.0,28.0,15.0,6.0,68.0,15.0,20.0,38.0,68.0,25.0,109.0,108.0,22.0,16.0,,,29.0,16.0,35.0,28.0,9.0,29.0,33.0,814.0,,2023-05-12 17:30:06
1039,,,base,interview,2023-05-24 16:37:23,ausgefüllt,Teilnehmer,32.0,32.0,1.0,1.0,0.85,3.0,Ja,45.0,männlich,2.0,HLG Quereinstieg,,Ich bin an einer Schule als Lehrkraft tätig.,,,,,,,,,10.0,trifft voll zu,5.0,4.0,5.0,5.0,ja Ich stimme völlig zu,6.0,6.0,6.0,6.0,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,trifft nicht zu,trifft zu,3.0,trifft zu,trifft zu,trifft zu,3.0,4.0,4.0,3.0,3.0,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,4.0,4.0,3.0,4.0,4.0,Die berufsbegleitende Absolvierung des HLG ist sehr anstrengend für mich. Ich unterrichte aktuell 27h in 5 Fächern - die Herausforderung ist deshalb schon groß genug :),GHH31G,Ja,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",MS,27.0,überwiegend fachfremd,Ich bin gerade in der Induktionsphase.,trifft voll und ganz zu,5.0,trifft voll und ganz zu,trifft voll und ganz zu,4.0,3.0,4.0,4.0,3.0,2.0,trifft zu,trifft zu,trifft zu,trifft zu,3.0,3.0,trifft nicht zu,2.0,3.0,,manchmal,manchmal,nie,selten,manchmal,,60.0,überwiegend in den gleichen Fächern wie ich,ja,5.0,5.0,4.0,trifft voll und ganz zu,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,,,,,,,,5.0,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,,,,,,,,,,5.0,4.0,4.0,5.0,5.0,5.0,5.0,29.0,9.0,26.0,5.0,,10.0,,,,6.0,14.0,14.0,7.0,70.0,11.0,31.0,33.0,65.0,22.0,50.0,117.0,23.0,14.0,46.0,23.0,25.0,50.0,147.0,26.0,173.0,45.0,16.0,908.0,,2023-05-24 16:55:50
1109,,,base,interview,2023-05-25 15:52:04,ausgefüllt,Teilnehmer,32.0,32.0,0.0,0.0,1.12,12.0,Ja,24.0,männlich,0.0,Master Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2018/19,Ich bin an einer Schule als Lehrkraft tätig.,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,durch Anerkennung von Unterichtstätigkeit,nein,15.0,4.0,4.0,2.0,4.0,4.0,ja Ich stimme völlig zu,6.0,5.0,6.0,6.0,ja Ich stimme völlig zu,6.0,6.0,6.0,5.0,6.0,6.0,ja Ich stimme völlig zu,trifft voll und ganz zu,5.0,5.0,4.0,trifft voll und ganz zu,5.0,5.0,4.0,4.0,3.0,3.0,4.0,2.0,trifft zu,2.0,trifft zu,trifft zu,trifft zu,trifft zu,4.0,3.0,5.0,5.0,stimme vollständig zu,4.0,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,4.0,2.0,3.0,Das Masterstudium sollte nicht verpflichtend sein. Eine Unterstufe sollte man auch ohne Masterstudium unterrichten dürfen. Das Bachelorstudium nimmt genug Zeit in Anspruch,JMR28G,Ja,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",MS,16.0,ca. im gleichen Ausmaß in meinen Fächern und fachfremd,Ich bin gerade in der Induktionsphase.,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,2.0,2.0,3.0,2.0,3.0,trifft zu,trifft zu,trifft zu,trifft zu,3.0,3.0,2.0,2.0,3.0,,häufig,manchmal,nie,selten,selten,selten,60.0,überwiegend in den gleichen Fächern wie ich,ja,5.0,trifft voll und ganz zu,5.0,4.0,trifft voll und ganz zu,5.0,3.0,4.0,5.0,trifft voll und ganz zu,4.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,7.0,4.0,4.0,13.0,7.0,,11.0,4.0,4.0,15.0,82.0,6.0,32.0,12.0,14.0,29.0,32.0,23.0,58.0,66.0,23.0,15.0,,,22.0,22.0,34.0,30.0,72.0,32.0,20.0,719.0,,2023-05-25 16:04:03
676,,,base,interview,2023-05-12 17:18:49,ausgefüllt,Teilnehmer,32.0,32.0,3.0,2.0,1.31,16.0,Ja,25.0,weiblich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2020/21,Ich bin an einer Schule als Lehrkraft tätig.,Praktikum absolviert,Praktikum absolviert,durch Anerkennung von Unterichtstätigkeit,Praktikum absolviert,durch Anerkennung von Unterichtstätigkeit,durch Anerkennung von Unterichtstätigkeit,,nein,30.0,trifft voll zu,5.0,trifft voll zu,4.0,3.0,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,5.0,ja Ich stimme völlig zu,6.0,6.0,ja Ich stimme völlig zu,3.0,3.0,trifft voll und ganz zu,5.0,trifft voll und ganz zu,5.0,trifft voll und ganz zu,4.0,trifft voll und ganz zu,trifft voll und ganz zu,5.0,trifft voll und ganz zu,2.0,trifft zu,2.0,trifft zu,3.0,3.0,trifft zu,4.0,trifft voll und ganz zu,2.0,trifft voll und ganz zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,4.0,stimme vollständig zu,4.0,4.0,,KDL19G,Ja,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",MS,14.0,überwiegend fachfremd,Ich bin gerade in der Induktionsphase.,trifft voll und ganz zu,4.0,5.0,trifft voll und ganz zu,5.0,3.0,2.0,2.0,3.0,2.0,trifft zu,3.0,trifft zu,3.0,3.0,3.0,2.0,3.0,trifft zu,,häufig,häufig,häufig,selten,selten,,60.0,überwiegend in den gleichen Fächern wie ich,ja,trifft voll und ganz zu,5.0,5.0,trifft voll und ganz zu,5.0,trifft voll und ganz zu,5.0,trifft voll und ganz zu,4.0,4.0,trifft voll und ganz zu,5.0,5.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,4.0,14.0,11.0,,17.0,5.0,4.0,8.0,5.0,4.0,31.0,13.0,20.0,38.0,53.0,19.0,47.0,78.0,30.0,9.0,,,16.0,17.0,37.0,23.0,4.0,22.0,25.0,569.0,,2023-05-12 17:28:18
971,,,base,interview,2023-05-24 14:02:31,ausgefüllt,Teilnehmer,32.0,32.0,1.0,1.0,0.99,8.0,Ja,22.0,weiblich,0.0,Bachelorstudium Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2020/21,Ich bin an einer Schule als Lehrkraft tätig.,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,durch Anerkennung von Unterichtstätigkeit,durch Anerkennung von Unterichtstätigkeit,durch Anerkennung von Unterichtstätigkeit,,nein,25.5,trifft voll zu,trifft voll zu,trifft voll zu,5.0,trifft voll zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,ja Ich stimme völlig zu,5.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,5.0,4.0,4.0,4.0,4.0,trifft nicht zu,trifft zu,3.0,trifft zu,3.0,trifft zu,2.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,4.0,3.0,stimme vollständig zu,"Durch die Arbeit vermindert sich die Lust auf das Studium. Das Studium dauert viel zu lange, vorallem wenn man im Lehrberuf schon sieht, worauf es wirklich ankommt. Vor allem das Mathematik-Studium zerrt mittlerweile extrem an den Nerven und ist viel komplex, für die Dinge, die man (auf MS bezogen!) wirklich braucht. Oberstufe und Unterstufe sollten getrennt zu studieren sein, denn ich wusste von Anfang an, dass ich niemals in der Oberstufe unterrichten möchte!",RRT31g,Ja,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",MS,14.0,ausschließlich in meinen studierten Fächern,Ich bin gerade in der Induktionsphase.,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,4.0,die Arbeit an der Schule,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,,häufig,manchmal,selten,manchmal,manchmal,nie,60.0,überwiegend in den gleichen Fächern wie ich,ja,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,3.0,trifft voll und ganz zu,3.0,trifft voll und ganz zu,trifft voll und ganz zu,trifft gar nicht zu,trifft gar nicht zu,trifft voll und ganz zu,trifft voll und ganz zu,trifft voll und ganz zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,15.0,8.0,4.0,18.0,9.0,,19.0,10.0,4.0,16.0,33.0,10.0,49.0,22.0,28.0,40.0,44.0,27.0,40.0,93.0,31.0,9.0,,,15.0,9.0,46.0,26.0,156.0,60.0,19.0,715.0,,2023-05-24 14:16:56
260,,,base,interview,2023-05-08 17:01:27,ausgefüllt,Teilnehmer,32.0,32.0,2.0,2.0,1.22,16.0,Ja,36.0,weiblich,0.0,Master Lehramt Sekundarstufe (Allgemeinbildung),WiSe 2022/23,Ich bin an einer Schule als Lehrkraft tätig.,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,Praktikum absolviert,durch Anerkennung von Unterichtstätigkeit,nein,5.0,trifft voll zu,trifft voll zu,4.0,trifft voll zu,5.0,6.0,6.0,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,6.0,ja Ich stimme völlig zu,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,6.0,ja Ich stimme völlig zu,5.0,3.0,3.0,4.0,trifft voll und ganz zu,5.0,4.0,,3.0,4.0,3.0,4.0,2.0,3.0,2.0,trifft zu,3.0,trifft zu,3.0,5.0,4.0,trifft voll und ganz zu,trifft gar nicht zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme vollständig zu,stimme gar nicht zu,4.0,"Für mich ist die Vereinbarkeit sehr schwierig. Ich arbeite in NÖ im Waldviertel und habe breits 50% des Masters erledigt. Die restlichen Kurse kann ich aber nur ganz selten belegen, da fast ausschließlich in Präsenz und unter der Woche Vormittags angeboten wird. Ich arbeite Teilzeit und habe Dienstag und Freitag für das Studium eigentlich reserviert, kann da aber nichts belegen, da es kein Angebot gibt. Ich würde mir (vorrallem die PPS/BWG Sachen) als Block oder als Distanz-LVs wünschen, damit ich mein Studium nicht über Jahre hinziehen muss, da ich jedes Semester terminliche Probleme habe.",SRK27B,Ja,"Ich habe alle Aufgaben, wie in den Instruktionen verlangt, bewältigt.",MS,14.0,überwiegend in meinen Fächern,Ich bin gerade in der Induktionsphase.,trifft voll und ganz zu,4.0,3.0,trifft nicht zu,2.0,die Arbeit an der Schule,trifft nicht zu,3.0,trifft nicht zu,trifft nicht zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,3.0,trifft zu,trifft zu,trifft zu,,häufig,selten,manchmal,selten,nie,selten,60.0,überwiegend in den gleichen Fächern wie ich,,5.0,5.0,3.0,4.0,5.0,4.0,3.0,3.0,2.0,5.0,3.0,trifft voll und ganz zu,5.0,trifft gar nicht zu,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.0,4.0,5.0,15.0,11.0,,17.0,5.0,4.0,15.0,18.0,17.0,28.0,18.0,27.0,22.0,38.0,17.0,32.0,60.0,21.0,7.0,,,15.0,13.0,26.0,19.0,216.0,28.0,15.0,507.0,,2023-05-08 17:13:33
